,Layer,Bronchiolitis nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,34,41,0.012386417981826936
1,coex_BST,23,17,-0.18353748822183302
2,coex_OVR,25,20,-0.05795454545454559
3,coex_LNG,34,30,0.08757204975225008
4,coex_ITI,32,36,0.1425765095119933
5,coex_VGN,25,29,0.07714672075726825
6,coex_HRV,27,20,0.2771421306890418
7,coex_MSG,32,28,0.04495073891625623
8,coex_ADV,29,24,0.33677867698803654
9,coex_EMS,22,22,0.08743581999395911
10,coex_SMU,25,22,0.04214700193423604
11,coex_ARG,24,18,0.2569444444444442
12,coex_TST,30,28,0.05389983579638735
13,coex_PIT,31,26,0.0897473494247687
14,coex_LVR,31,32,0.17543522785458254
15,coex_THY,28,30,0.3948868819558473
16,coex_PNC,28,22,-0.04761904761904767
17,coex_ATC,29,24,-0.05020283975659234
18,coex_BRO,32,24,0.011986803519061562
19,coex_SKN,23,28,0.059782608695652106
20,coex_ADS,29,22,0.02371073821378067
21,coex_GEJ,30,23,0.272895467160037
22,coex_BRB,26,17,0.407282913165266
23,coex_UTR,13,20,0.3093108504398825
24,coex_STM,28,30,0.3236042692939245
25,coex_HRA,26,27,0.2200000000000002
26,coex_PRS,24,26,0.22575250836120375
27,coex_ATA,32,24,-0.03939393939393954
28,coex_FIB,19,21,0.2769423558897246
29,coex_BRC,22,22,0.3798701298701299
30,coex_ATT,24,28,0.08452380952380922
31,coex_TNV,24,19,-0.08003704914460075
32,coex_SPL,26,35,0.16346604215456662
33,coex_LCL,22,20,0.14707602339181292
34,coex_CLS,27,29,-0.10983397190293731
35,coex_EMC,24,30,-0.1650641025641022
36,coex_CLT,27,32,0.15948021885521912
37,coex_core,36,37,0.1607142857142856
38,coex_WBL,37,33,0.20034205328322985
39,co-essential,7,2,-3.1031746031746046
40,GOBP,16,18,0.7707604895104891
41,ppi,50,50,0.26000000000000023
42,reactome_copathway,24,19,0.2598640870952085
43,MP,13,22,1.3681818181818182
44,HP,19,27,0.22014577506568345
45,GI_net,17,25,0.06452012383900962
46,gene_gene_on_CbG_name_mapped,14,12,-0.2248168498168499
47,gene_gene_on_GcG_name_mapped,38,33,-0.14648898173731384
48,GOMF,2,8,
