,Layer,Tetralogy_of_Fallot nodes,Vitiligo nodes,sAB
0,coex_KDN,40,41,0.3699563384522735
1,coex_BST,26,25,0.27452488687782806
2,coex_OVR,33,30,0.20520833333333344
3,coex_LNG,33,36,0.5317729534147446
4,coex_ITI,38,37,0.5
5,coex_VGN,36,34,0.3344861660079048
6,coex_HRV,25,18,0.3525581395348838
7,coex_MSG,38,34,0.10986412108703125
8,coex_ADV,30,26,0.8022893772893771
9,coex_EMS,24,25,0.12190476190476218
10,coex_SMU,22,24,0.15752635046113306
11,coex_ARG,22,25,0.14555555555555566
12,coex_TST,36,31,-0.020676188947734486
13,coex_PIT,31,27,0.12895622895622894
14,coex_LVR,26,26,0.09615384615384603
15,coex_THY,31,29,0.682115519800047
16,coex_PNC,25,30,0.300566037735849
17,coex_ATC,38,32,0.5686006741960088
18,coex_BRO,31,30,0.42868852459016393
19,coex_SKN,33,30,0.08492063492063484
20,coex_ADS,28,27,0.30219780219780246
21,coex_GEJ,30,23,0.6862318840579711
22,coex_BRB,20,26,0.35734265734265724
23,coex_UTR,28,23,0.8786688588478868
24,coex_STM,34,33,0.7220691073632253
25,coex_HRA,27,22,0.35411942554799714
26,coex_PRS,29,21,0.34532019704433514
27,coex_ATA,28,31,0.48658517534952717
28,coex_FIB,17,21,0.32161285566858355
29,coex_BRC,26,30,0.047161172161171994
30,coex_ATT,32,29,0.2824512436404749
31,coex_TNV,21,17,0.5044117647058823
32,coex_SPL,27,29,0.5162379127896368
33,coex_LCL,9,23,0.05017921146953386
34,coex_CLS,29,30,0.3492740471869329
35,coex_EMC,29,31,0.38739340007415657
36,coex_CLT,32,30,0.3119959677419355
37,coex_core,35,36,0.612991718426501
38,coex_WBL,13,33,-0.03825884260666834
39,co-essential,10,6,1.4690476190476192
40,GOBP,12,16,2.2125
41,ppi,48,49,0.24703915071183125
42,reactome_copathway,16,23,0.7097186700767264
43,MP,14,19,1.9874465811965818
44,HP,27,23,0.6487278582930758
45,GI_net,11,16,0.10784090909090915
46,gene_gene_on_CbG_name_mapped,5,6,0.025757575757575868
47,gene_gene_on_GcG_name_mapped,37,29,0.13485272105961776
48,GOMF,8,10,
