,Layer,Temporal_lobe_epilepsy nodes,Atypical_absence_seizure nodes,sAB
0,coex_KDN,39,35,0.1920601920601921
1,coex_BST,24,27,0.1064814814814814
2,coex_OVR,28,30,0.14899197226783434
3,coex_LNG,26,31,0.3409734012450478
4,coex_ITI,35,31,0.14789746543778803
5,coex_VGN,27,32,0.08909094475831769
6,coex_HRV,23,21,0.016421983813287966
7,coex_MSG,34,33,0.04530821826695397
8,coex_ADV,19,26,0.24354475933423325
9,coex_EMS,24,25,0.5624999999999996
10,coex_SMU,22,24,0.1370223978919629
11,coex_ARG,27,31,0.44886039886039875
12,coex_TST,33,36,0.15958498023715406
13,coex_PIT,32,34,-0.020025623885917998
14,coex_LVR,28,24,0.23672161172161177
15,coex_THY,26,32,0.359375
16,coex_PNC,30,30,0.26666666666666705
17,coex_ATC,32,28,0.16025246305418706
18,coex_BRO,39,40,-0.06374553716325893
19,coex_SKN,28,32,0.2816348522167491
20,coex_ADS,29,26,0.47560182173064414
21,coex_GEJ,26,28,0.6526516961299571
22,coex_BRB,29,34,0.09133043448950029
23,coex_UTR,19,21,0.28449328449328437
24,coex_STM,34,33,0.045693989943331514
25,coex_HRA,24,31,0.44034325889164583
26,coex_PRS,23,27,0.4169404186795491
27,coex_ATA,31,29,0.10914905450500534
28,coex_FIB,17,21,0.2229839304142709
29,coex_BRC,31,39,-0.1231693670023839
30,coex_ATT,30,27,0.40253411306042874
31,coex_TNV,27,21,0.2433862433862437
32,coex_SPL,26,28,0.1141636141636142
33,coex_LCL,15,11,0.4913419913419914
34,coex_CLS,29,29,0.5
35,coex_EMC,27,28,0.10519480519480529
36,coex_CLT,31,32,0.284794226830517
37,coex_core,37,34,0.23030515150796105
38,coex_WBL,24,20,-0.15769230769230802
39,co-essential,6,3,1.5
40,GOBP,18,29,0.9295222561296432
41,ppi,50,47,0.17494565217391322
42,reactome_copathway,18,7,0.7549019607843142
43,MP,12,15,0.3675324675324676
44,HP,12,24,0.23611111111111116
45,GI_net,16,14,0.1741071428571428
46,gene_gene_on_CbG_name_mapped,26,14,0.279120879120879
47,gene_gene_on_GcG_name_mapped,29,32,-0.12413439796495207
48,GOMF,5,6,
