,Layer,Bronchiectasis nodes,Pneumonia nodes,sAB
0,coex_KDN,38,36,0.019165292052615968
1,coex_BST,26,23,0.22714604236343394
2,coex_OVR,23,28,0.047138047138047146
3,coex_LNG,42,35,0.7142857142857142
4,coex_ITI,31,31,-0.016129032258064502
5,coex_VGN,29,22,-0.15288278320732673
6,coex_HRV,24,31,0.07229718474096303
7,coex_MSG,39,38,0.13096552570236786
8,coex_ADV,20,35,-0.2191558441558441
9,coex_EMS,28,26,0.06538461538461515
10,coex_SMU,27,23,0.005990338164251208
11,coex_ARG,22,22,-0.09090909090909127
12,coex_TST,38,25,-0.14372598162071837
13,coex_PIT,36,33,0.17818945760122218
14,coex_LVR,29,32,0.1507440476190478
15,coex_THY,31,23,0.37354399723215304
16,coex_PNC,31,26,0.04230769230769216
17,coex_ATC,28,26,-0.05901505901505888
18,coex_BRO,37,35,0.20819390819390815
19,coex_SKN,26,23,-0.10433715220949247
20,coex_ADS,26,24,-0.11801282051282014
21,coex_GEJ,28,30,0.0021497709791722386
22,coex_BRB,32,28,0.1946582512315269
23,coex_UTR,20,17,-0.504861111111111
24,coex_STM,35,31,0.21365731043150404
25,coex_HRA,27,25,0.04031397174254292
26,coex_PRS,30,28,0.20211640211640214
27,coex_ATA,28,26,-0.010582010582010692
28,coex_FIB,22,26,0.20818764568764592
29,coex_BRC,23,24,-0.175609004008634
30,coex_ATT,31,24,-0.10742705570291755
31,coex_TNV,17,24,0.10252192982456165
32,coex_SPL,27,23,0.0760708534621577
33,coex_LCL,26,16,-0.36984890109890123
34,coex_CLS,34,24,0.0702751196172251
35,coex_EMC,34,27,-0.006600568664377082
36,coex_CLT,30,29,0.023809523809523725
37,coex_core,38,34,0.018089340999557724
38,coex_WBL,30,30,0.2735827001753359
39,co-essential,4,9,0.362373737373737
40,GOBP,29,12,3.2107142857142854
41,ppi,49,50,0.1601566687280973
42,reactome_copathway,18,25,0.09967948717948727
43,MP,16,11,2.5975961538461543
44,HP,34,12,0.4385123614663258
45,GI_net,21,22,0.09523809523809557
46,gene_gene_on_CbG_name_mapped,12,14,-0.1071428571428572
47,gene_gene_on_GcG_name_mapped,35,29,-0.08377463054187206
48,GOMF,7,2,
