,Layer,Macular_degeneration nodes,Squamous_cell_carcinoma_of_the_head_and_neck nodes,sAB
0,coex_KDN,38,45,0.1753705216478001
1,coex_BST,19,31,0.11239119303635414
2,coex_OVR,33,33,0.29756582215598604
3,coex_LNG,27,39,0.2576923076923081
4,coex_ITI,35,40,0.09333333333333327
5,coex_VGN,34,38,0.4756081379920387
6,coex_HRV,24,26,0.6049358974358974
7,coex_MSG,36,42,0.08928571428571441
8,coex_ADV,22,27,0.296416546416546
9,coex_EMS,25,35,0.02285714285714313
10,coex_SMU,27,32,0.08935577526679217
11,coex_ARG,26,35,0.08441050474948808
12,coex_TST,34,44,-0.058720691073632425
13,coex_PIT,31,38,-0.02960680101375468
14,coex_LVR,31,35,0.007177768468090928
15,coex_THY,28,39,-0.024084249084249443
16,coex_PNC,29,33,0.1438871473354233
17,coex_ATC,29,41,-0.20357142857142874
18,coex_BRO,32,38,0.048825187969924855
19,coex_SKN,35,38,0.12736498108015137
20,coex_ADS,27,34,0.18438914027149345
21,coex_GEJ,21,30,0.10439831104855779
22,coex_BRB,29,34,0.05886377539521548
23,coex_UTR,24,31,0.5064102564102559
24,coex_STM,33,39,0.07517482517482521
25,coex_HRA,34,37,0.28415243888389696
26,coex_PRS,31,35,0.28614718614718626
27,coex_ATA,30,33,0.20743145743145774
28,coex_FIB,27,36,-0.037386692381870645
29,coex_BRC,31,37,0.07191355578452363
30,coex_ATT,30,38,0.36440373563218387
31,coex_TNV,28,24,0.5219609582963618
32,coex_SPL,33,32,0.09659819347319365
33,coex_LCL,14,22,0.2637085137085138
34,coex_CLS,33,38,0.6902231267902912
35,coex_EMC,30,34,0.18102453102453087
36,coex_CLT,35,35,-0.028571428571428692
37,coex_core,37,41,0.2666446934739617
38,coex_WBL,30,37,0.21372193088611025
39,co-essential,4,21,1.25
40,GOBP,27,13,1.0666666666666664
41,ppi,50,50,0.17999999999999994
42,reactome_copathway,10,31,-0.09122807017543888
43,MP,18,13,2.239178384339675
44,HP,30,22,0.7705128205128204
45,GI_net,10,32,0.1534226190476191
46,gene_gene_on_CbG_name_mapped,8,19,-0.034965886939571256
47,gene_gene_on_GcG_name_mapped,36,27,0.07407407407407396
48,GOMF,5,4,
