,Layer,Temporal_lobe_epilepsy nodes,Status_epilepticus nodes,sAB
0,coex_KDN,39,39,-0.20793241845873411
1,coex_BST,24,29,0.0029580797836374906
2,coex_OVR,28,23,-0.5761688311688316
3,coex_LNG,26,32,-0.004310344827586299
4,coex_ITI,35,32,0.021222527472527508
5,coex_VGN,27,27,-0.2088910390797183
6,coex_HRV,23,26,0.18986758583031849
7,coex_MSG,34,36,-0.19852941176470584
8,coex_ADV,19,22,-0.12396428988213293
9,coex_EMS,24,23,0.2362010484119641
10,coex_SMU,22,25,-0.19032882011605423
11,coex_ARG,27,25,-0.20993589743589758
12,coex_TST,33,33,-0.1969696969696968
13,coex_PIT,32,38,-0.2076832706766918
14,coex_LVR,28,35,-0.2948412698412699
15,coex_THY,26,32,0.0544181034482758
16,coex_PNC,30,25,-0.23424242424242392
17,coex_ATC,32,27,-0.05951510721247555
18,coex_BRO,39,37,-0.07921180289601337
19,coex_SKN,28,26,-0.3530219780219781
20,coex_ADS,29,28,-0.3309783078385622
21,coex_GEJ,26,24,0.02447552447552459
22,coex_BRB,29,31,-0.1607712272895807
23,coex_UTR,19,21,-0.6597953216374268
24,coex_STM,34,34,-0.2941176470588236
25,coex_HRA,24,30,0.13240740740740709
26,coex_PRS,23,20,0.16274381606189392
27,coex_ATA,31,28,-0.05405959540732663
28,coex_FIB,17,20,-0.03104133545310006
29,coex_BRC,31,37,-0.3527360377455253
30,coex_ATT,30,26,-0.15674891146589243
31,coex_TNV,27,28,-0.12836700336700346
32,coex_SPL,26,24,-0.43865384615384606
33,coex_LCL,15,17,0.08123249299719904
34,coex_CLS,29,28,0.14837803320561926
35,coex_EMC,27,25,-0.3198529411764708
36,coex_CLT,31,28,-0.06700577989533696
37,coex_core,37,38,-0.0847524692965762
38,coex_WBL,24,34,-0.3753501400560222
39,co-essential,6,9,-0.6220238095238093
40,GOBP,18,14,0.24594320486815402
41,ppi,50,50,-0.18000000000000016
42,reactome_copathway,18,19,0.3693736603953326
43,MP,12,12,1.3277777777777775
44,HP,12,18,-0.1333333333333333
45,GI_net,16,20,-0.15625
46,gene_gene_on_CbG_name_mapped,26,21,-0.1624191411425453
47,gene_gene_on_GcG_name_mapped,29,32,-0.36849915206331274
48,GOMF,5,4,
