,Layer,Squamous_cell_carcinoma nodes,Multiple_myeloma nodes,sAB
0,coex_KDN,45,43,-0.4594876187698962
1,coex_BST,35,24,-0.43171912832929804
2,coex_OVR,36,30,-0.7778325123152712
3,coex_LNG,42,38,-0.5097536601615185
4,coex_ITI,41,40,-0.5689287865100872
5,coex_VGN,37,28,-0.3178348678348679
6,coex_HRV,30,31,-0.2833333333333332
7,coex_MSG,42,41,-0.4467451688286246
8,coex_ADV,32,36,-0.4288194444444444
9,coex_EMS,35,34,-0.3933808305931068
10,coex_SMU,33,27,-0.5033670033670035
11,coex_ARG,30,24,-0.4964462213337777
12,coex_TST,39,37,-0.32901119743225005
13,coex_PIT,43,41,-0.34558922831753236
14,coex_LVR,38,37,-0.34626837363679486
15,coex_THY,35,32,-0.1946295309168442
16,coex_PNC,31,28,-0.39483910021088797
17,coex_ATC,32,32,-0.6746384872080089
18,coex_BRO,37,39,-0.7898110661268556
19,coex_SKN,35,29,-0.22706280788177335
20,coex_ADS,37,32,-0.5258672851956434
21,coex_GEJ,37,32,-0.5217667748917747
22,coex_BRB,29,32,-0.5615916617962204
23,coex_UTR,26,20,-0.197202797202797
24,coex_STM,40,39,-0.291407010710808
25,coex_HRA,38,30,-0.3730192052441965
26,coex_PRS,38,30,-0.4337834952492794
27,coex_ATA,33,30,-0.6382395382395385
28,coex_FIB,34,30,-0.5359848484848486
29,coex_BRC,35,35,-0.4571428571428573
30,coex_ATT,32,29,-0.4364224137931032
31,coex_TNV,30,35,-0.4142857142857146
32,coex_SPL,27,27,-0.44444444444444464
33,coex_LCL,27,27,-0.3326210826210827
34,coex_CLS,35,37,-0.22354983660130712
35,coex_EMC,35,27,-0.5578770670381081
36,coex_CLT,36,38,-0.3570385453947098
37,coex_core,44,40,-0.2603354978354977
38,coex_WBL,38,33,-0.5251901251901252
39,co-essential,20,14,-0.6986070381231673
40,GOBP,8,7,-1.416666666666666
41,ppi,50,50,-0.25
42,reactome_copathway,30,20,-0.4466965285554312
43,MP,11,15,-0.9692307692307693
44,HP,26,19,-0.32953216374269
45,GI_net,34,30,-0.5273674242424242
46,gene_gene_on_CbG_name_mapped,15,10,-0.31333333333333324
47,gene_gene_on_GcG_name_mapped,32,31,-0.36575140809011786
48,GOMF,5,5,
