,Layer,Head_and_neck_neoplasm nodes,Rectal_neoplasm nodes,sAB
0,coex_KDN,45,48,-0.22529121863799295
1,coex_BST,31,45,0.141454442558008
2,coex_OVR,38,45,-0.22844359895723243
3,coex_LNG,41,47,-0.14434235976789167
4,coex_ITI,43,47,-0.06682060586068506
5,coex_VGN,42,47,-0.028718850676775487
6,coex_HRV,21,16,0.17941602316602356
7,coex_MSG,44,48,-0.08242753623188381
8,coex_ADV,26,42,-0.007541478129713619
9,coex_EMS,34,44,-0.03261689291101044
10,coex_SMU,27,42,0.28686450425580867
11,coex_ARG,37,44,0.19863620812987892
12,coex_TST,39,48,-0.11060455349248444
13,coex_PIT,36,45,0.18641975308641956
14,coex_LVR,38,44,-0.15443750729373318
15,coex_THY,37,35,-0.40302445302445333
16,coex_PNC,36,44,-0.08371212121212102
17,coex_ATC,36,44,0.2006313131313131
18,coex_BRO,39,42,0.16547958214624892
19,coex_SKN,39,47,0.11369720498864488
20,coex_ADS,33,31,0.5138776881720428
21,coex_GEJ,40,43,-0.07975915179545368
22,coex_BRB,33,17,-0.3667557932263814
23,coex_UTR,27,43,-0.044087609203888434
24,coex_STM,44,47,-0.06817384742916643
25,coex_HRA,36,42,0.1610389610389611
26,coex_PRS,35,45,-0.019444444444444375
27,coex_ATA,31,40,0.24032987884980272
28,coex_FIB,33,46,-0.29992471296819123
29,coex_BRC,35,45,-0.09424603174603163
30,coex_ATT,34,40,0.203189726594863
31,coex_TNV,27,11,0.9236596736596736
32,coex_SPL,37,46,-0.09414154856794976
33,coex_LCL,27,38,0.005810466336782172
34,coex_CLS,43,46,-0.10426773156405855
35,coex_EMC,38,45,-0.12468470372718943
36,coex_CLT,43,48,0.06369047619047619
37,coex_core,44,48,-0.052398989898990056
38,coex_WBL,36,43,-0.27529602180764967
39,co-essential,19,25,-0.17400594574507622
40,GOBP,16,18,2.170312952767314
41,ppi,49,49,-0.010204081632653184
42,reactome_copathway,28,25,0.06198034769463345
43,MP,9,20,-0.141414141414141
44,HP,21,30,-0.2669467787114843
45,GI_net,29,35,-0.09545874384236441
46,gene_gene_on_CbG_name_mapped,20,15,-0.2999999999999998
47,gene_gene_on_GcG_name_mapped,32,40,-0.16770833333333335
48,GOMF,4,6,
