,Layer,Periodontitis nodes,Pneumonia nodes,sAB
0,coex_KDN,36,36,-0.26190476190476186
1,coex_BST,19,23,-0.2194962042788129
2,coex_OVR,20,28,-0.13613081166272645
3,coex_LNG,28,35,-0.11402116402116413
4,coex_ITI,28,31,-0.37157306881199714
5,coex_VGN,21,22,0.07846320346320379
6,coex_HRV,25,31,-0.3663250921708958
7,coex_MSG,30,38,-0.3017027863777091
8,coex_ADV,27,35,-0.27275265717888675
9,coex_EMS,19,26,-0.4850427350427351
10,coex_SMU,17,23,-0.7116704805491989
11,coex_ARG,17,22,-0.16858631564513926
12,coex_TST,21,25,-0.34380952380952357
13,coex_PIT,24,33,-0.28209728867623607
14,coex_LVR,30,32,-0.10071897964951959
15,coex_THY,17,23,-0.11650289406380399
16,coex_PNC,24,26,-0.1262371169203469
17,coex_ATC,27,26,-0.6006692468956618
18,coex_BRO,21,35,-0.4559523809523811
19,coex_SKN,17,23,-0.10175438596491215
20,coex_ADS,20,24,-0.3200757575757578
21,coex_GEJ,26,30,-0.592669220945083
22,coex_BRB,20,28,-0.5684523809523812
23,coex_UTR,12,17,0.21769781144781142
24,coex_STM,27,31,0.07442425740534775
25,coex_HRA,25,25,-0.2425354609929078
26,coex_PRS,18,28,-0.20339954163483553
27,coex_ATA,19,26,-0.1940024479804161
28,coex_FIB,14,26,-0.37032967032967057
29,coex_BRC,16,24,-0.4895833333333335
30,coex_ATT,18,24,-0.06111111111111134
31,coex_TNV,18,24,-0.6164215686274508
32,coex_SPL,26,23,0.14434168316155915
33,coex_LCL,11,16,-0.018749999999999822
34,coex_CLS,18,24,-0.20694444444444438
35,coex_EMC,23,27,-0.2786795491143317
36,coex_CLT,18,29,-0.26488095238095233
37,coex_core,31,34,-0.3068788171006107
38,coex_WBL,28,30,0.10000000000000009
39,co-essential,10,9,0.6084967320261438
40,GOBP,17,12,-0.34166666666666634
41,ppi,49,50,-0.04165739022881865
42,reactome_copathway,29,25,0.15882749326145573
43,MP,15,11,0.16547619047619078
44,HP,13,12,0.006794871794871815
45,GI_net,21,22,-0.14536340852130336
46,gene_gene_on_CbG_name_mapped,25,14,-0.3176556776556776
47,gene_gene_on_GcG_name_mapped,30,29,-0.3030391583869083
48,GOMF,2,2,
