,Layer,Bronchiolitis nodes,Encephalitis nodes,sAB
0,coex_KDN,34,39,-0.17803053782102918
1,coex_BST,23,18,-0.5851612482047266
2,coex_OVR,25,23,-0.3631475485661422
3,coex_LNG,34,38,0.03735089965631122
4,coex_ITI,32,32,-0.061599352194606105
5,coex_VGN,25,29,-0.21621966794380576
6,coex_HRV,27,25,0.06222222222222218
7,coex_MSG,32,34,-0.013591800356506312
8,coex_ADV,29,27,-0.14739554825761725
9,coex_EMS,22,24,-0.2699040090344438
10,coex_SMU,25,26,-0.13414781297134248
11,coex_ARG,24,23,0.04261100832562437
12,coex_TST,30,26,-0.19908424908424904
13,coex_PIT,31,35,-0.12380472350230409
14,coex_LVR,31,28,-0.2257283449191596
15,coex_THY,28,30,0.0402070790001825
16,coex_PNC,28,26,-0.13736263736263732
17,coex_ATC,29,35,-0.10727792785634849
18,coex_BRO,32,34,-0.13522113560064208
19,coex_SKN,23,26,-0.20101016995426968
20,coex_ADS,29,29,-0.13793103448275845
21,coex_GEJ,30,26,0.3097959183673473
22,coex_BRB,26,31,0.07933094384707307
23,coex_UTR,13,22,-0.3744588744588744
24,coex_STM,28,33,-0.04523277269178916
25,coex_HRA,26,19,-0.10990430622009528
26,coex_PRS,24,27,-0.06730769230769251
27,coex_ATA,32,29,-0.3747126436781607
28,coex_FIB,19,19,-0.2236842105263157
29,coex_BRC,22,25,0.09694390715667289
30,coex_ATT,24,29,-0.10781283886358706
31,coex_TNV,24,20,0.16832659251769444
32,coex_SPL,26,30,-0.05238095238095242
33,coex_LCL,22,27,-0.17555555555555546
34,coex_CLS,27,27,-0.31481481481481444
35,coex_EMC,24,36,-0.10563962873284893
36,coex_CLT,27,27,-0.1552706552706551
37,coex_core,36,39,-0.1651769591910437
38,coex_WBL,37,36,0.07548745929027612
39,co-essential,7,11,-1.0097402597402598
40,GOBP,16,16,0.5439241917502788
41,ppi,50,50,0.10999999999999988
42,reactome_copathway,24,21,-0.2447876938723621
43,MP,13,18,0.8647058823529412
44,HP,19,23,-0.010242998801351266
45,GI_net,17,25,-0.36705882352941166
46,gene_gene_on_CbG_name_mapped,14,10,-0.36071428571428577
47,gene_gene_on_GcG_name_mapped,38,32,-0.25082236842105265
48,GOMF,2,5,
