,Layer,Fibrosarcoma nodes,Neoplasm_of_uterus nodes,sAB
0,coex_KDN,46,49,-0.061315555970672175
1,coex_BST,26,37,0.1482113982113984
2,coex_OVR,36,38,0.013414730519993423
3,coex_LNG,36,43,0.11855219443958709
4,coex_ITI,43,45,0.14791519849659407
5,coex_VGN,38,39,7.010533326323731e-05
6,coex_HRV,37,29,0.21257736516357228
7,coex_MSG,42,46,0.1036137775268211
8,coex_ADV,27,31,0.004799571540394787
9,coex_EMS,26,43,-0.13036996707370818
10,coex_SMU,34,35,0.05900178253119437
11,coex_ARG,30,34,-0.021752450980391913
12,coex_TST,42,46,0.07806324110671925
13,coex_PIT,40,40,-0.05192307692307696
14,coex_LVR,41,38,0.14863261890447022
15,coex_THY,36,35,0.43576458752515057
16,coex_PNC,33,42,0.2316473901839755
17,coex_ATC,34,36,0.0272926561929121
18,coex_BRO,38,40,0.12693994601889314
19,coex_SKN,39,43,0.0792919799498748
20,coex_ADS,40,32,0.10672728539576415
21,coex_GEJ,28,42,0.09558823529411775
22,coex_BRB,34,33,-0.07422871246400686
23,coex_UTR,28,36,0.25569216757741353
24,coex_STM,43,44,0.08130725863284005
25,coex_HRA,39,38,0.14389557810610465
26,coex_PRS,32,40,0.03541666666666665
27,coex_ATA,35,39,0.0620631620631622
28,coex_FIB,32,36,0.010897435897435859
29,coex_BRC,38,42,0.2438283208020049
30,coex_ATT,38,39,0.010395010395010118
31,coex_TNV,32,25,-0.044829545454545094
32,coex_SPL,31,38,0.08342560468492421
33,coex_LCL,23,29,0.400098522167488
34,coex_CLS,31,46,-0.12320813828527721
35,coex_EMC,33,43,0.08508236434108518
36,coex_CLT,38,45,0.08624478136673264
37,coex_core,44,43,0.04912324337768914
38,coex_WBL,37,41,0.4797692172692172
39,co-essential,8,17,0.8361344537815127
40,GOBP,6,15,0.47142857142857153
41,ppi,50,50,0.030000000000000027
42,reactome_copathway,28,24,0.5
43,MP,6,14,0.7243697478991589
44,HP,22,27,-0.11970899470899465
45,GI_net,19,28,0.09007936507936498
46,gene_gene_on_CbG_name_mapped,17,10,0.3307189542483657
47,gene_gene_on_GcG_name_mapped,33,37,-0.10753480753480749
48,GOMF,2,4,
