,Layer,Head_and_neck_cancer nodes,Macular_degeneration nodes,sAB
0,coex_KDN,47,38,0.1854091751116922
1,coex_BST,35,19,0.10263551961665174
2,coex_OVR,39,33,0.18729096989966543
3,coex_LNG,44,27,0.19982517482517492
4,coex_ITI,47,35,0.14981837052413072
5,coex_VGN,43,34,0.1792795257637938
6,coex_HRV,24,24,0.5833333333333335
7,coex_MSG,43,36,0.20862771072514952
8,coex_ADV,27,22,0.3073764859479149
9,coex_EMS,33,25,0.18961337513061682
10,coex_SMU,26,27,0.05054292318443254
11,coex_ARG,38,26,0.06720647773279342
12,coex_TST,41,34,-0.11017216642754679
13,coex_PIT,37,31,0.11873685830042557
14,coex_LVR,40,31,0.01252271694684226
15,coex_THY,39,28,0.23305860805860812
16,coex_PNC,36,29,0.23905309250136852
17,coex_ATC,34,29,0.026426442410048878
18,coex_BRO,38,32,0.05859962406015051
19,coex_SKN,41,35,0.12583452893352454
20,coex_ADS,34,27,-0.09654392260883116
21,coex_GEJ,40,21,0.14595827900912628
22,coex_BRB,32,29,0.1159995053702656
23,coex_UTR,30,24,0.5435897435897439
24,coex_STM,46,33,0.14647437501042337
25,coex_HRA,34,34,0.2927807486631018
26,coex_PRS,35,31,0.0783549783549784
27,coex_ATA,31,30,0.20133952979770342
28,coex_FIB,36,27,0.09273069679849355
29,coex_BRC,39,31,-0.2386026370846106
30,coex_ATT,35,30,0.3236372446095457
31,coex_TNV,23,28,0.03531782740848399
32,coex_SPL,38,33,-0.011821326684188005
33,coex_LCL,33,14,0.23093395965736363
34,coex_CLS,46,33,0.18822434875066452
35,coex_EMC,42,30,0.28095238095238084
36,coex_CLT,43,35,0.3156670746634025
37,coex_core,46,37,0.23524074432164688
38,coex_WBL,38,30,0.20165118679050575
39,co-essential,24,4,0.37962962962962976
40,GOBP,15,27,0.7698412698412698
41,ppi,49,50,0.06248402391259544
42,reactome_copathway,25,10,0.14259259259259238
43,MP,13,18,0.3888888888888893
44,HP,22,30,0.8054778554778557
45,GI_net,29,10,0.03342175066313002
46,gene_gene_on_CbG_name_mapped,15,8,-0.08242753623188381
47,gene_gene_on_GcG_name_mapped,31,36,-0.05595677526346776
48,GOMF,6,5,
