,Layer,Myocardial_ischemia nodes,Decreased_circulating_vitamin_B1_concentration nodes,sAB
0,coex_KDN,42,41,0.09729160544617499
1,coex_BST,28,35,0.11303976787847758
2,coex_OVR,31,33,0.3534793499511242
3,coex_LNG,34,37,0.42106002106002105
4,coex_ITI,39,41,0.14855378361475902
5,coex_VGN,33,33,0.027845418470418437
6,coex_HRV,29,23,0.5331334332833582
7,coex_MSG,41,43,0.22586635334791882
8,coex_ADV,27,32,0.2563341984921519
9,coex_EMS,23,34,0.5639947054336609
10,coex_SMU,27,31,0.4040529363110008
11,coex_ARG,20,34,0.4004186602870816
12,coex_TST,32,36,0.22579656862745123
13,coex_PIT,35,35,0.15968822311533293
14,coex_LVR,37,38,0.19990042674253217
15,coex_THY,22,29,0.6547619047619047
16,coex_PNC,30,37,0.49785531800457195
17,coex_ATC,30,36,0.31540404040404035
18,coex_BRO,31,38,0.21963042247976183
19,coex_SKN,30,37,0.20450191570881238
20,coex_ADS,23,35,0.4513056939022748
21,coex_GEJ,31,27,0.8265107212475633
22,coex_BRB,28,28,0.10645743145743136
23,coex_UTR,12,23,0.3547237076648839
24,coex_STM,35,38,0.5142320892320895
25,coex_HRA,31,34,0.4907036466358501
26,coex_PRS,31,30,0.10000000000000009
27,coex_ATA,30,34,0.19908963585434147
28,coex_FIB,21,29,0.31291050903119855
29,coex_BRC,26,29,0.30250783699059536
30,coex_ATT,26,37,0.24933687002652505
31,coex_TNV,28,24,0.8263095238095239
32,coex_SPL,24,39,-0.063721001221001
33,coex_LCL,13,21,-0.2979166666666666
34,coex_CLS,33,35,0.462996031746032
35,coex_EMC,26,37,0.22654192654192662
36,coex_CLT,35,39,0.5093240093240095
37,coex_core,37,40,0.35491741741741745
38,coex_WBL,27,35,0.19622802526028327
39,co-essential,9,11,0.7222222222222223
40,GOBP,9,21,0.04166666666666696
41,ppi,49,49,0.08163265306122436
42,reactome_copathway,26,16,0.41185897435897445
43,MP,15,12,1.3255494505494503
44,HP,11,20,0.2264890282131662
45,GI_net,20,16,-0.06870300751879688
46,gene_gene_on_CbG_name_mapped,16,10,-0.06538461538461537
47,gene_gene_on_GcG_name_mapped,29,37,-0.11334688920895819
48,GOMF,6,6,
