,Layer,Fibrosarcoma nodes,Rhabdomyosarcoma nodes,sAB
0,coex_KDN,46,43,-0.19969885187276493
1,coex_BST,26,32,0.3270754429498064
2,coex_OVR,36,36,-0.3055555555555556
3,coex_LNG,36,35,0.3088235294117645
4,coex_ITI,43,41,-0.07237392971936352
5,coex_VGN,38,37,0.025120910384068162
6,coex_HRV,37,20,0.14761904761904776
7,coex_MSG,42,43,0.1534102012898182
8,coex_ADV,27,29,0.14126071884692548
9,coex_EMS,26,35,-0.12032035760849302
10,coex_SMU,34,35,0.09009421950598417
11,coex_ARG,30,31,-0.19808743169398868
12,coex_TST,42,44,0.10782241014799165
13,coex_PIT,40,36,0.06584084084084108
14,coex_LVR,41,36,-0.1671725970506459
15,coex_THY,36,31,0.29013647642679885
16,coex_PNC,33,30,-0.14401154401154415
17,coex_ATC,34,37,0.17929310384553343
18,coex_BRO,38,32,0.2377114661654134
19,coex_SKN,39,39,-0.07774681458891997
20,coex_ADS,40,24,0.5043577112542628
21,coex_GEJ,28,33,-0.0420335314403113
22,coex_BRB,34,17,-0.21098439375750333
23,coex_UTR,28,30,0.1315789473684208
24,coex_STM,43,39,0.052816440507875484
25,coex_HRA,39,35,0.07398277398277386
26,coex_PRS,32,35,-0.07514658848614086
27,coex_ATA,35,28,0.1478835978835975
28,coex_FIB,32,35,-0.10690943043884227
29,coex_BRC,38,37,0.3345779990516833
30,coex_ATT,38,35,0.14145068576038744
31,coex_TNV,32,20,-0.3361551857585141
32,coex_SPL,31,35,0.03357073034492397
33,coex_LCL,23,32,0.03225665266106437
34,coex_CLS,31,38,-0.2156873600551168
35,coex_EMC,33,36,-0.06852532679738554
36,coex_CLT,38,41,-0.05165390531244207
37,coex_core,44,42,0.03896103896103886
38,coex_WBL,37,36,0.36957505450656125
39,co-essential,8,20,0.6916666666666664
40,GOBP,6,18,-0.2029411764705884
41,ppi,50,50,0.06000000000000005
42,reactome_copathway,28,19,0.45734126984126977
43,MP,6,14,-0.14017094017093967
44,HP,22,26,-0.07619047619047614
45,GI_net,19,29,0.0862068965517242
46,gene_gene_on_CbG_name_mapped,17,9,0.15208647561588728
47,gene_gene_on_GcG_name_mapped,33,32,-0.3208988927738927
48,GOMF,2,2,
