,Layer,Epididymitis nodes,Cholangitis nodes,sAB
0,coex_KDN,42,42,-0.10946573751451805
1,coex_BST,29,25,0.37040431266846374
2,coex_OVR,30,26,0.0008883439267304283
3,coex_LNG,35,30,0.12628317177816628
4,coex_ITI,43,35,0.1397989607291934
5,coex_VGN,30,28,0.13809523809523805
6,coex_HRV,21,25,0.15002070393374733
7,coex_MSG,42,32,0.17947635135135132
8,coex_ADV,38,28,0.19903926482873846
9,coex_EMS,29,23,0.44274016837735
10,coex_SMU,24,28,0.09135895160739871
11,coex_ARG,25,21,0.03183831672203752
12,coex_TST,28,32,-0.07946428571428554
13,coex_PIT,33,32,-0.0840241554893193
14,coex_LVR,28,31,0.05773061001327817
15,coex_THY,24,27,0.32704252269469647
16,coex_PNC,27,25,0.17709401709401695
17,coex_ATC,32,22,0.15810751748251728
18,coex_BRO,31,25,-0.055299539170506895
19,coex_SKN,32,26,0.5897727272727273
20,coex_ADS,31,28,0.43718166383701185
21,coex_GEJ,36,28,0.9010290556900729
22,coex_BRB,25,21,-0.09739130434782606
23,coex_UTR,20,19,0.07894736842105265
24,coex_STM,32,33,0.10618279569892475
25,coex_HRA,28,27,0.06107549857549843
26,coex_PRS,28,26,0.21185185185185196
27,coex_ATA,29,21,0.05367859091263316
28,coex_FIB,22,19,0.10883838383838418
29,coex_BRC,29,29,-0.08866995073891615
30,coex_ATT,26,23,0.5335615171137835
31,coex_TNV,27,20,0.6484436564223799
32,coex_SPL,23,23,0.06655687307861236
33,coex_LCL,16,19,0.09990601503759367
34,coex_CLS,35,30,0.3986321055993187
35,coex_EMC,28,21,0.2071428571428573
36,coex_CLT,33,32,-0.06044969928922894
37,coex_core,44,38,0.267901174877919
38,coex_WBL,30,28,0.07124756335282667
39,co-essential,15,11,0.7570129870129869
40,GOBP,9,24,0.18584656084656093
41,ppi,49,48,0.11355985693246362
42,reactome_copathway,22,17,0.316385135135135
43,MP,15,17,-1.1071428571428572
44,HP,14,21,0.14047619047619064
45,GI_net,25,18,0.17322493224932245
46,gene_gene_on_CbG_name_mapped,10,13,0.10635451505016724
47,gene_gene_on_GcG_name_mapped,28,30,-0.01658456486042681
48,GOMF,5,6,
