,Layer,Chorea nodes,Rhabdomyosarcoma nodes,sAB
0,coex_KDN,42,43,-0.19047619047619047
1,coex_BST,40,32,0.07462049335863385
2,coex_OVR,37,36,-0.04370294952486731
3,coex_LNG,40,35,0.10773809523809508
4,coex_ITI,45,41,0.18949391819499573
5,coex_VGN,41,37,0.2750198603857139
6,coex_HRV,19,20,-0.11541835357624874
7,coex_MSG,44,43,0.023034069645937905
8,coex_ADV,33,29,0.013365018370580017
9,coex_EMS,40,35,0.41384540117416835
10,coex_SMU,37,35,-0.06787859287859321
11,coex_ARG,38,31,0.2856598016781082
12,coex_TST,47,44,0.13818628180330306
13,coex_PIT,45,36,-0.016049382716049276
14,coex_LVR,33,36,0.018719806763284996
15,coex_THY,37,31,0.09077750206782476
16,coex_PNC,36,30,0.19040404040404013
17,coex_ATC,38,37,0.21715641380385442
18,coex_BRO,42,32,0.21406451093951118
19,coex_SKN,41,39,0.1609912445278301
20,coex_ADS,33,24,0.9518398268398269
21,coex_GEJ,44,33,0.32318181818181824
22,coex_BRB,26,17,-0.02025162785564527
23,coex_UTR,31,30,0.13088313061872014
24,coex_STM,43,39,0.05678694532920292
25,coex_HRA,40,35,0.1354761904761903
26,coex_PRS,39,35,0.19878229878229847
27,coex_ATA,36,28,0.2323163327261688
28,coex_FIB,27,35,0.20959677131326138
29,coex_BRC,44,37,0.05151515151515129
30,coex_ATT,39,35,0.5837283315276274
31,coex_TNV,21,20,-0.06879699248120286
32,coex_SPL,35,35,0.0
33,coex_LCL,26,32,0.28857954545454567
34,coex_CLS,39,38,0.11505599663494404
35,coex_EMC,39,36,0.06978632478632463
36,coex_CLT,42,41,0.18005821194184413
37,coex_core,43,42,0.16268321282001175
38,coex_WBL,35,36,0.23547273982056582
39,co-essential,13,20,0.13976426799007413
40,GOBP,23,18,0.7675133689839568
41,ppi,50,50,0.30999999999999983
42,reactome_copathway,16,19,0.7777777777777777
43,MP,17,14,0.467755305039788
44,HP,26,26,0.6100301659125189
45,GI_net,21,29,0.25001642036124805
46,gene_gene_on_CbG_name_mapped,8,9,0.17810457516339873
47,gene_gene_on_GcG_name_mapped,38,32,0.07901785714285725
48,GOMF,3,2,
