,Layer,Abetalipoproteinaemia nodes,Atonic_seizure nodes,sAB
0,coex_KDN,40,38,0.017576342576342663
1,coex_BST,31,27,0.25486175115207343
2,coex_OVR,36,22,0.030388471177944965
3,coex_LNG,37,24,0.28478991286368327
4,coex_ITI,40,36,0.2210526315789474
5,coex_VGN,33,30,0.121789321789322
6,coex_HRV,24,20,0.2767857142857144
7,coex_MSG,40,33,0.32139892071398934
8,coex_ADV,28,26,0.2851617250673857
9,coex_EMS,30,21,0.630672268907563
10,coex_SMU,30,25,-0.03292316106097859
11,coex_ARG,28,28,0.4464285714285716
12,coex_TST,36,35,0.15954106280193225
13,coex_PIT,32,38,-0.16402883862122986
14,coex_LVR,35,28,0.09092505854800925
15,coex_THY,31,24,0.6447297443089868
16,coex_PNC,29,25,0.10927203065134128
17,coex_ATC,36,29,0.32565576186265854
18,coex_BRO,36,38,0.05660265528686592
19,coex_SKN,35,26,0.29464518532315154
20,coex_ADS,33,27,1.0234529200046443
21,coex_GEJ,32,29,0.6166591473043086
22,coex_BRB,27,31,0.26869361018415505
23,coex_UTR,21,14,0.12857142857142856
24,coex_STM,37,31,0.049515359762039024
25,coex_HRA,32,29,0.17025862068965525
26,coex_PRS,33,24,-0.04186602870813383
27,coex_ATA,30,25,0.5608974358974361
28,coex_FIB,26,20,0.18252508361204
29,coex_BRC,34,36,0.12700746965452825
30,coex_ATT,32,23,0.28377717391304325
31,coex_TNV,21,22,0.6977272727272728
32,coex_SPL,36,24,0.15277777777777768
33,coex_LCL,24,21,0.17958768873402997
34,coex_CLS,32,30,0.6354166666666665
35,coex_EMC,30,21,0.08999999999999986
36,coex_CLT,34,34,0.17201426024955424
37,coex_core,39,34,0.5014095738706563
38,coex_WBL,34,28,0.2665356465166715
39,co-essential,6,9,-0.375
40,GOBP,24,17,0.7562500000000001
41,ppi,50,50,0.19000000000000017
42,reactome_copathway,12,18,1.2291392182696534
43,MP,14,12,0.808080808080808
44,HP,27,25,0.18017094017094015
45,GI_net,13,18,0.14667769506479145
46,gene_gene_on_CbG_name_mapped,11,22,0.09090909090909083
47,gene_gene_on_GcG_name_mapped,30,35,0.04816849816849822
48,GOMF,7,7,
