,Layer,West_syndrome nodes,Atonic_seizure nodes,sAB
0,coex_KDN,46,38,-0.14753373069245268
1,coex_BST,37,27,-0.03341269841269834
2,coex_OVR,38,22,-0.21362728856038427
3,coex_LNG,38,24,-0.00633135257498596
4,coex_ITI,40,36,0.04013157894736841
5,coex_VGN,40,30,0.01130952380952377
6,coex_HRV,23,20,-0.0849567099567099
7,coex_MSG,42,33,0.10506493506493486
8,coex_ADV,35,26,0.13666666666666671
9,coex_EMS,40,21,0.2315018315018318
10,coex_SMU,39,25,-0.1932786708382781
11,coex_ARG,40,28,0.0478991596638656
12,coex_TST,44,35,-0.05503452243958584
13,coex_PIT,43,38,-0.03109679446888758
14,coex_LVR,38,28,-0.13758828890407848
15,coex_THY,37,24,0.1931649040344694
16,coex_PNC,37,25,0.10770706190061041
17,coex_ATC,39,29,0.07887345919800293
18,coex_BRO,42,38,0.10775743000601201
19,coex_SKN,41,26,0.0873358348968103
20,coex_ADS,21,27,-0.004629629629629317
21,coex_GEJ,36,29,0.09081196581196549
22,coex_BRB,20,31,0.01799493991144807
23,coex_UTR,34,14,0.13602941176470584
24,coex_STM,39,31,-0.14687463074559837
25,coex_HRA,38,29,0.03278130671506352
26,coex_PRS,36,24,-0.1611111111111112
27,coex_ATA,38,25,0.40202320316921325
28,coex_FIB,35,20,-0.31006493506493493
29,coex_BRC,42,36,0.01816239316239332
30,coex_ATT,38,23,0.46017123017438655
31,coex_TNV,16,22,0.720643939393939
32,coex_SPL,43,24,0.020695938910100686
33,coex_LCL,27,21,-0.1060501495284103
34,coex_CLS,38,30,0.36582934609250395
35,coex_EMC,35,21,-0.2805194805194804
36,coex_CLT,38,34,0.04371959310039819
37,coex_core,39,34,0.2933177933177933
38,coex_WBL,36,28,-0.22271825396825395
39,co-essential,11,9,-0.03528708133971303
40,GOBP,22,17,0.6831011730205279
41,ppi,49,50,-0.07077715934858797
42,reactome_copathway,18,18,0.36744281045751626
43,MP,5,12,1.0762032085561497
44,HP,34,25,-0.17999002991026924
45,GI_net,20,18,-0.33713450292397673
46,gene_gene_on_CbG_name_mapped,12,22,-0.2542335115864529
47,gene_gene_on_GcG_name_mapped,33,35,-0.05827603768780221
48,GOMF,4,7,
