,Layer,Allergic_rhinitis nodes,Asthma nodes,sAB
0,coex_KDN,35,41,0.03136298421807737
1,coex_BST,20,20,0.3500000000000001
2,coex_OVR,23,25,0.15565217391304342
3,coex_LNG,32,32,0.53125
4,coex_ITI,25,35,0.3533521303258145
5,coex_VGN,22,22,-0.15909090909090873
6,coex_HRV,22,29,0.3770207142418096
7,coex_MSG,32,34,0.24473596256684504
8,coex_ADV,23,25,0.6476449275362317
9,coex_EMS,24,24,0.7635484119642304
10,coex_SMU,21,25,0.11777777777777798
11,coex_ARG,17,17,0.0018382352941177516
12,coex_TST,27,27,-0.09259259259259278
13,coex_PIT,24,30,0.17314814814814827
14,coex_LVR,23,34,0.14681204289496108
15,coex_THY,22,21,0.23809523809523814
16,coex_PNC,22,20,0.05227272727272725
17,coex_ATC,27,25,0.11259259259259302
18,coex_BRO,25,29,0.11731800766283529
19,coex_SKN,28,22,0.14964343225212762
20,coex_ADS,28,26,0.4587912087912085
21,coex_GEJ,28,25,0.8582875457875456
22,coex_BRB,17,24,0.2813845050215209
23,coex_UTR,20,15,0.2825123152709357
24,coex_STM,25,32,-0.01116071428571419
25,coex_HRA,21,26,0.2539130434782608
26,coex_PRS,24,28,0.010062358276643923
27,coex_ATA,24,27,0.11956521739130421
28,coex_FIB,13,18,-0.2750206782464848
29,coex_BRC,20,21,0.16881533101045276
30,coex_ATT,26,23,0.23684782608695665
31,coex_TNV,21,23,0.33290031813361587
32,coex_SPL,22,22,0.2369626497533477
33,coex_LCL,9,12,0.1485380116959063
34,coex_CLS,24,25,0.4948469387755101
35,coex_EMC,23,23,0.1826526130873951
36,coex_CLT,26,29,0.2566612111292965
37,coex_core,31,35,0.2194139194139193
38,coex_WBL,20,28,0.26607142857142874
39,co-essential,4,9,0.566239316239316
40,GOBP,17,14,0.7786561264822134
41,ppi,48,49,0.11196218177992856
42,reactome_copathway,14,21,0.49393645403832176
43,MP,16,12,0.42034090909090915
44,HP,13,10,0.37090301003344495
45,GI_net,13,17,-0.17420814479637992
46,gene_gene_on_CbG_name_mapped,10,12,0.19318181818181812
47,gene_gene_on_GcG_name_mapped,26,25,-0.13914027149321262
48,GOMF,9,5,0.0
