,Layer,Dermatitis nodes,Rhinitis nodes,sAB
0,coex_KDN,32,31,-0.19301075268817214
1,coex_BST,19,13,0.1266197959746349
2,coex_OVR,23,19,0.19417933309767887
3,coex_LNG,34,31,0.6949559834510222
4,coex_ITI,26,20,0.006342780026990624
5,coex_VGN,23,23,0.28260869565217384
6,coex_HRV,25,14,0.048416988416988715
7,coex_MSG,32,30,0.38444220430107534
8,coex_ADV,22,19,0.1688061617458283
9,coex_EMS,23,26,1.1525652885504871
10,coex_SMU,25,14,0.024285714285714244
11,coex_ARG,23,14,0.31854256854256846
12,coex_TST,30,28,-0.10537766830870288
13,coex_PIT,26,25,0.07589743589743603
14,coex_LVR,29,20,-0.012948627726953044
15,coex_THY,24,16,0.27083333333333304
16,coex_PNC,22,22,0.2857142857142856
17,coex_ATC,23,22,0.1099190664408054
18,coex_BRO,28,30,0.4574074074074077
19,coex_SKN,29,24,0.40474983096686934
20,coex_ADS,27,21,0.8068783068783065
21,coex_GEJ,27,28,0.9383797544174901
22,coex_BRB,21,23,0.37681159420289867
23,coex_UTR,12,20,1.1384952766531713
24,coex_STM,28,25,0.189164420485175
25,coex_HRA,23,17,0.3812659846547315
26,coex_PRS,25,23,0.43297101449275344
27,coex_ATA,19,18,0.49001670843776113
28,coex_FIB,17,15,-0.17279411764705888
29,coex_BRC,22,16,0.0707236842105261
30,coex_ATT,24,19,0.4477058029689611
31,coex_TNV,23,15,1.074716843259043
32,coex_SPL,19,17,-0.10294117647058831
33,coex_LCL,13,9,0.5263157894736841
34,coex_CLS,25,20,0.2166329625884731
35,coex_EMC,30,22,0.18197812040176542
36,coex_CLT,25,20,0.17380660954712335
37,coex_core,32,28,0.5410311671087533
38,coex_WBL,27,17,-0.007278669043374819
39,co-essential,11,3,0.3363636363636364
40,GOBP,19,15,1.4103174603174602
41,ppi,49,48,-0.1253638053159407
42,reactome_copathway,25,14,0.28260869565217384
43,MP,15,15,0.4298029556650249
44,HP,17,19,0.1930684554523563
45,GI_net,21,20,-0.29597812097812115
46,gene_gene_on_CbG_name_mapped,12,13,-0.3580769230769232
47,gene_gene_on_GcG_name_mapped,28,25,-0.0352291105121294
48,GOMF,6,7,
