,Layer,Erythema_nodosum nodes,Ascites nodes,sAB
0,coex_KDN,36,43,0.06655382199980386
1,coex_BST,27,33,0.19758311863575018
2,coex_OVR,28,28,0.1428571428571428
3,coex_LNG,30,29,0.04969803233976222
4,coex_ITI,37,35,0.012824962493562353
5,coex_VGN,30,30,0.1029967159277505
6,coex_HRV,20,23,0.382695870110058
7,coex_MSG,34,38,0.04850361197110398
8,coex_ADV,32,28,0.151934523809524
9,coex_EMS,31,35,0.07484988130149395
10,coex_SMU,27,25,-0.09071225071225064
11,coex_ARG,25,28,0.07761455525606475
12,coex_TST,33,35,0.14592564298446642
13,coex_PIT,32,33,0.109375
14,coex_LVR,28,31,0.0648676091541045
15,coex_THY,25,32,0.3364635603345283
16,coex_PNC,32,36,0.16617063492063533
17,coex_ATC,30,37,0.1791060291060289
18,coex_BRO,29,34,0.17756214116271885
19,coex_SKN,29,33,0.17644183773216016
20,coex_ADS,28,29,1.0420062695924766
21,coex_GEJ,28,28,0.2321428571428572
22,coex_BRB,19,25,0.3404607046070458
23,coex_UTR,23,22,0.4093300110741973
24,coex_STM,34,34,0.1911764705882355
25,coex_HRA,28,29,0.3715646875810217
26,coex_PRS,30,29,0.21798029556650267
27,coex_ATA,32,32,0.3126280081925241
28,coex_FIB,25,22,-0.09503105590062111
29,coex_BRC,25,29,0.08638569604086843
30,coex_ATT,35,32,0.3333791208791208
31,coex_TNV,20,24,0.4310776942355887
32,coex_SPL,28,34,-0.016819910638455227
33,coex_LCL,24,25,0.018774703557312256
34,coex_CLS,31,25,0.4610752688172046
35,coex_EMC,29,35,0.38505747126436796
36,coex_CLT,33,34,0.0124777183600715
37,coex_core,37,41,0.11521559082534694
38,coex_WBL,30,31,0.19999999999999973
39,co-essential,5,8,-0.5105769230769228
40,GOBP,28,19,0.5742296918767504
41,ppi,47,48,0.06375046659201189
42,reactome_copathway,18,15,0.48412698412698374
43,MP,11,14,-0.07747252747252764
44,HP,19,26,0.4523391812865496
45,GI_net,25,17,0.3329411764705883
46,gene_gene_on_CbG_name_mapped,9,6,0.6722222222222225
47,gene_gene_on_GcG_name_mapped,29,33,-0.08762261098189916
48,GOMF,10,11,-0.05714285714285716
