,Layer,Bladder_neoplasm nodes,Rhabdomyosarcoma nodes,sAB
0,coex_KDN,43,43,-0.4166666666666665
1,coex_BST,32,32,0.224766385048643
2,coex_OVR,32,36,-0.0005015246348900604
3,coex_LNG,41,35,0.5285714285714289
4,coex_ITI,43,41,-0.05631634389433571
5,coex_VGN,35,37,-0.0006435006435008273
6,coex_HRV,35,20,0.17434640522875844
7,coex_MSG,42,43,0.05817210605172285
8,coex_ADV,29,29,0.482758620689655
9,coex_EMS,35,35,-0.09915966386554631
10,coex_SMU,31,35,-0.003574919703952073
11,coex_ARG,29,31,0.0022988505747127963
12,coex_TST,40,44,0.018398268398268414
13,coex_PIT,38,36,0.038920499446815304
14,coex_LVR,41,36,0.06896930982296823
15,coex_THY,34,31,0.3190867744947443
16,coex_PNC,34,30,-0.09295343137254886
17,coex_ATC,33,37,0.08025484723854293
18,coex_BRO,35,32,0.20045975479744138
19,coex_SKN,33,39,0.00027649873600577024
20,coex_ADS,33,24,0.6706626706626708
21,coex_GEJ,38,33,-0.10244736715324976
22,coex_BRB,29,17,-0.30012702755520815
23,coex_UTR,26,30,-0.06181318681318704
24,coex_STM,41,39,0.09704502814258897
25,coex_HRA,33,35,0.4640458422174838
26,coex_PRS,37,35,-0.05096525096525095
27,coex_ATA,30,28,0.1513409961685821
28,coex_FIB,31,35,-0.17469183960056167
29,coex_BRC,35,37,0.27020456069751875
30,coex_ATT,27,35,0.30130968169761285
31,coex_TNV,26,20,-0.16959064327485418
32,coex_SPL,30,35,-0.08021978021978038
33,coex_LCL,25,32,0.04753059440559437
34,coex_CLS,35,38,0.23957701552216015
35,coex_EMC,35,36,0.1683706816059758
36,coex_CLT,34,41,-0.08474993840847489
37,coex_core,44,42,0.27548323769254
38,coex_WBL,38,36,0.21795479690216557
39,co-essential,10,20,-0.06785714285714262
40,GOBP,8,18,1.2401960784313726
41,ppi,50,50,0.050000000000000044
42,reactome_copathway,29,19,0.058570198105081905
43,MP,10,14,0.30016722408026775
44,HP,23,26,-0.1507246376811593
45,GI_net,28,29,-0.21365065330582578
46,gene_gene_on_CbG_name_mapped,16,9,0.12597222222222237
47,gene_gene_on_GcG_name_mapped,28,32,-0.18407738095238102
48,GOMF,6,2,
