,Layer,Erythema_multiforme nodes,Keloid nodes,sAB
0,coex_KDN,44,45,0.06795199182839617
1,coex_BST,29,23,0.47301349325337316
2,coex_OVR,35,30,0.5335164835164838
3,coex_LNG,33,36,0.6445123503947034
4,coex_ITI,39,35,0.30178309469203923
5,coex_VGN,32,39,0.5079763986013985
6,coex_HRV,22,31,0.333425499231951
7,coex_MSG,39,38,0.27430464272569544
8,coex_ADV,28,29,0.5278603959475787
9,coex_EMS,29,29,0.7142857142857144
10,coex_SMU,28,29,0.17857142857142838
11,coex_ARG,36,30,0.5188134270101481
12,coex_TST,33,33,0.24242424242424243
13,coex_PIT,37,34,0.07159197012138185
14,coex_LVR,38,39,0.38595141700404856
15,coex_THY,31,30,0.5495152476643748
16,coex_PNC,31,34,0.197554290533418
17,coex_ATC,35,25,0.4933333333333332
18,coex_BRO,36,28,0.6086309523809523
19,coex_SKN,37,37,0.44701920230089254
20,coex_ADS,25,37,0.697994768962511
21,coex_GEJ,33,35,1.1871687788018432
22,coex_BRB,28,20,0.6410714285714283
23,coex_UTR,26,30,0.4914027149321267
24,coex_STM,39,36,0.5838134838134839
25,coex_HRA,32,31,0.6729166666666666
26,coex_PRS,32,30,0.4817876344086023
27,coex_ATA,35,30,0.8434065934065935
28,coex_FIB,30,25,0.08703703703703702
29,coex_BRC,37,26,0.555110055110055
30,coex_ATT,35,34,0.7799573560767592
31,coex_TNV,22,27,1.1255827505827503
32,coex_SPL,33,37,0.20801450801450816
33,coex_LCL,27,12,0.47227772227772213
34,coex_CLS,38,31,0.6021505376344085
35,coex_EMC,30,32,0.21797715053763422
36,coex_CLT,37,33,0.35748106060606055
37,coex_core,40,43,0.64796511627907
38,coex_WBL,33,34,0.3181818181818181
39,co-essential,8,5,0.0
40,GOBP,21,16,1.6134868421052628
41,ppi,49,47,0.043353777681285344
42,reactome_copathway,19,22,1.2232620320855614
43,MP,18,14,-0.4788838612368025
44,HP,11,21,-0.20021645021645007
45,GI_net,18,12,0.22187391152908376
46,gene_gene_on_CbG_name_mapped,12,7,0.300125313283208
47,gene_gene_on_GcG_name_mapped,30,29,0.0988408338203779
48,GOMF,8,3,
