,Layer,Rhinitis nodes,Gangrene nodes,sAB
0,coex_KDN,31,33,0.1429292929292929
1,coex_BST,13,21,-0.01238957121310058
2,coex_OVR,19,27,0.14814814814814792
3,coex_LNG,31,31,0.9193548387096775
4,coex_ITI,20,32,0.14681695046439613
5,coex_VGN,23,35,0.4054401370743199
6,coex_HRV,14,14,0.030219780219780112
7,coex_MSG,30,34,0.38278186274509807
8,coex_ADV,19,19,0.3421052631578947
9,coex_EMS,26,27,1.2829919905391605
10,coex_SMU,14,22,0.3632756132756132
11,coex_ARG,14,22,-0.1661573720397247
12,coex_TST,28,32,0.1294642857142856
13,coex_PIT,25,28,0.2966711590296496
14,coex_LVR,20,28,0.3220496894409939
15,coex_THY,16,24,0.5719760312151618
16,coex_PNC,22,24,0.41287878787878807
17,coex_ATC,22,25,0.4009090909090909
18,coex_BRO,30,26,0.36999999999999966
19,coex_SKN,24,34,0.2874649859943976
20,coex_ADS,21,23,1.1737718802936197
21,coex_GEJ,28,29,0.9080832960143308
22,coex_BRB,23,20,0.6550636267232237
23,coex_UTR,20,20,0.7792569659442723
24,coex_STM,25,29,0.2587994891443166
25,coex_HRA,17,23,-0.04590792838874691
26,coex_PRS,23,26,0.323804347826087
27,coex_ATA,18,23,0.709680416202155
28,coex_FIB,15,21,0.4246031746031744
29,coex_BRC,16,25,-0.057286585365853515
30,coex_ATT,19,22,0.6162912825300504
31,coex_TNV,15,16,1.341269841269841
32,coex_SPL,17,31,0.0260910815939277
33,coex_LCL,9,25,0.5328571428571429
34,coex_CLS,20,23,0.09125379170879677
35,coex_EMC,22,30,0.1621212121212121
36,coex_CLT,20,28,0.19260918253079495
37,coex_core,28,34,0.4774801469716725
38,coex_WBL,17,33,0.33628451380552216
39,co-essential,3,10,1.0555555555555558
40,GOBP,15,22,1.2120819289603313
41,ppi,48,49,0.15382828389087622
42,reactome_copathway,14,17,1.0081018518518516
43,MP,15,19,0.6587301587301586
44,HP,19,31,0.49140916808149404
45,GI_net,20,22,0.23636363636363633
46,gene_gene_on_CbG_name_mapped,13,12,0.2452564102564101
47,gene_gene_on_GcG_name_mapped,25,30,0.19212121212121214
48,GOMF,7,6,
