,Layer,Immunodeficiency nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,41,34,0.35080344332855096
1,coex_BST,22,28,0.3148809523809524
2,coex_OVR,30,33,0.18730407523510983
3,coex_LNG,34,25,0.5952841475573276
4,coex_ITI,35,32,0.5355943496801707
5,coex_VGN,31,28,0.1992892290869328
6,coex_HRV,21,13,0.6261446886446889
7,coex_MSG,35,29,0.22637007389162567
8,coex_ADV,27,27,0.982905982905983
9,coex_EMS,25,21,0.5383850931677014
10,coex_SMU,30,24,0.31898148148148175
11,coex_ARG,24,32,0.650770792187843
12,coex_TST,38,32,0.018562030075187863
13,coex_PIT,36,32,0.15006892748828227
14,coex_LVR,35,29,0.30669642857142865
15,coex_THY,34,26,0.9726227795193307
16,coex_PNC,30,24,0.2852564102564106
17,coex_ATC,35,30,0.6412087912087912
18,coex_BRO,32,27,0.35924748901443815
19,coex_SKN,34,30,0.3083946078431372
20,coex_ADS,28,23,0.9609582963620227
21,coex_GEJ,23,32,0.7997159090909092
22,coex_BRB,26,19,0.7291048133153399
23,coex_UTR,22,24,0.3708333333333331
24,coex_STM,30,27,0.4047758284600391
25,coex_HRA,26,33,0.5472027972027971
26,coex_PRS,25,20,0.25777777777777766
27,coex_ATA,34,31,0.6852116838274176
28,coex_FIB,21,22,0.01709956709956728
29,coex_BRC,28,29,0.4642857142857144
30,coex_ATT,25,28,0.5235714285714286
31,coex_TNV,24,22,0.7837448871383121
32,coex_SPL,39,24,0.2382478632478633
33,coex_LCL,15,18,0.16111111111111098
34,coex_CLS,25,25,0.20442176870748296
35,coex_EMC,36,26,0.17562724014336917
36,coex_CLT,32,27,0.22873839522546402
37,coex_core,38,36,0.5380116959064327
38,coex_WBL,28,28,0.29481132075471717
39,co-essential,7,9,-0.5238095238095237
40,GOBP,20,17,1.775767543859649
41,ppi,49,45,0.39934385101558356
42,reactome_copathway,17,17,0.7543737322515214
43,MP,13,12,2.258333333333333
44,HP,38,37,0.6006685633001423
45,GI_net,21,17,0.08015873015873032
46,gene_gene_on_CbG_name_mapped,7,6,0.38827838827838823
47,gene_gene_on_GcG_name_mapped,33,34,0.20834996142283235
48,GOMF,8,6,
