,Layer,Ewing_sarcoma nodes,Nephroblastoma nodes,sAB
0,coex_KDN,43,45,-0.1495184402161147
1,coex_BST,35,37,0.09963670914375133
2,coex_OVR,37,39,-0.06464966991282783
3,coex_LNG,34,41,-0.06234815877570554
4,coex_ITI,41,44,-0.10667470979522631
5,coex_VGN,38,46,0.024980930587337857
6,coex_HRV,21,16,0.14218073593073566
7,coex_MSG,38,45,0.0102233495385049
8,coex_ADV,29,34,-0.009940757912360487
9,coex_EMS,32,37,-0.12305964052287588
10,coex_SMU,37,38,-0.12162162162162171
11,coex_ARG,34,34,-0.014705882352941124
12,coex_TST,43,46,-0.12750650412969633
13,coex_PIT,38,40,-0.02598752598752596
14,coex_LVR,38,38,-0.13157894736842102
15,coex_THY,43,33,-0.06212121212121202
16,coex_PNC,38,39,-0.12805177278861501
17,coex_ATC,39,42,-0.06161033059767229
18,coex_BRO,37,36,-0.0008383635144197932
19,coex_SKN,37,41,0.07898517654615222
20,coex_ADS,31,23,1.030799438990182
21,coex_GEJ,31,40,-0.23677536231884067
22,coex_BRB,24,13,0.22418478260869534
23,coex_UTR,30,35,0.1186813186813187
24,coex_STM,40,43,-0.06328803586438791
25,coex_HRA,35,37,0.23332260832260854
26,coex_PRS,35,39,0.03168003168003186
27,coex_ATA,34,33,0.3582476551226552
28,coex_FIB,33,36,-0.15293560606060597
29,coex_BRC,38,34,-0.02605779153766763
30,coex_ATT,37,37,0.012301587301587702
31,coex_TNV,16,19,-0.19814241486068118
32,coex_SPL,36,42,-0.0146520146520146
33,coex_LCL,30,30,0.16527093596059106
34,coex_CLS,37,37,-0.09947447447447444
35,coex_EMC,35,42,0.0025974025974024872
36,coex_CLT,34,44,-0.12391774891774898
37,coex_core,42,42,-0.026629164742594025
38,coex_WBL,37,33,-0.0553410553410556
39,co-essential,12,24,-0.02492668621700833
40,GOBP,10,9,-0.22222222222222232
41,ppi,50,48,-0.03142006802721076
42,reactome_copathway,20,13,0.23190045248868785
43,MP,10,12,1.1594017094017097
44,HP,23,27,-0.02589371980676347
45,GI_net,31,28,-0.005828712020620186
46,gene_gene_on_CbG_name_mapped,8,2,0.03750000000000009
47,gene_gene_on_GcG_name_mapped,28,33,0.08230430771414365
48,GOMF,5,3,
