,Layer,Cellulitis nodes,Pneumonia nodes,sAB
0,coex_KDN,45,36,0.20917721518987342
1,coex_BST,22,23,0.219030174491468
2,coex_OVR,38,28,-0.0138263263263263
3,coex_LNG,42,35,0.26046277665995987
4,coex_ITI,44,31,0.03039589442815238
5,coex_VGN,41,22,0.23377012831231125
6,coex_HRV,34,31,0.23904504330467824
7,coex_MSG,45,38,0.029768195589374935
8,coex_ADV,30,35,0.48650793650793656
9,coex_EMS,30,26,0.10384615384615392
10,coex_SMU,31,23,0.12266895226222019
11,coex_ARG,27,22,-0.11320689892118452
12,coex_TST,35,25,-0.08190476190476192
13,coex_PIT,36,33,0.006422924901185789
14,coex_LVR,36,32,-0.07576625799573544
15,coex_THY,41,23,0.04334570519618275
16,coex_PNC,34,26,-0.17043740573152322
17,coex_ATC,42,26,-0.02828054298642546
18,coex_BRO,39,35,0.02898856730868271
19,coex_SKN,33,23,0.08658008658008676
20,coex_ADS,39,24,0.2700702075702073
21,coex_GEJ,35,30,0.0053257828563721965
22,coex_BRB,31,28,-0.04821135671327048
23,coex_UTR,27,17,0.4135760073260073
24,coex_STM,43,31,0.5452342815433591
25,coex_HRA,27,25,0.17988603988604002
26,coex_PRS,37,28,0.36660548135958004
27,coex_ATA,38,26,0.02631578947368407
28,coex_FIB,20,26,0.012123745819398124
29,coex_BRC,25,24,0.4540136054421766
30,coex_ATT,36,24,-0.05555555555555536
31,coex_TNV,30,24,0.14490740740740726
32,coex_SPL,38,23,-0.028566605394455546
33,coex_LCL,24,16,-0.08958333333333313
34,coex_CLS,39,24,0.13927045177045172
35,coex_EMC,40,27,-0.13177169707020453
36,coex_CLT,44,29,0.42640692640692635
37,coex_core,46,34,0.2574595055413471
38,coex_WBL,37,30,0.08863636363636362
39,co-essential,8,9,1.8180555555555555
40,GOBP,12,12,2.9485294117647056
41,ppi,50,50,0.20000000000000018
42,reactome_copathway,21,25,0.638095238095238
43,MP,11,11,1.1277777777777778
44,HP,33,12,0.14974747474747474
45,GI_net,21,22,0.25595238095238093
46,gene_gene_on_CbG_name_mapped,8,14,0.3133116883116882
47,gene_gene_on_GcG_name_mapped,30,29,-0.06575102279368794
48,GOMF,2,2,
