,Layer,Skin_disorder nodes,West_syndrome nodes,sAB
0,coex_KDN,37,46,0.21843419506463002
1,coex_BST,21,37,0.13460735171261495
2,coex_OVR,29,38,0.4394723298209495
3,coex_LNG,32,38,0.4929373065015481
4,coex_ITI,34,40,0.28757949125596194
5,coex_VGN,30,40,0.2572151424287856
6,coex_HRV,23,23,0.5871102327624067
7,coex_MSG,37,42,0.3220557809165405
8,coex_ADV,27,35,0.7213859020310631
9,coex_EMS,23,40,0.4790340561729063
10,coex_SMU,22,39,0.18029920898773355
11,coex_ARG,19,40,0.350438596491228
12,coex_TST,30,44,0.12332104832104829
13,coex_PIT,32,43,0.4746802325581396
14,coex_LVR,32,38,0.45763627819548836
15,coex_THY,22,37,0.6136155415816433
16,coex_PNC,26,37,0.49977724977724947
17,coex_ATC,25,39,0.36439255189255193
18,coex_BRO,32,42,0.5913485633144004
19,coex_SKN,23,41,0.09138056733828215
20,coex_ADS,25,21,0.6472222222222221
21,coex_GEJ,29,36,0.6473548482169171
22,coex_BRB,21,20,0.6567363530778167
23,coex_UTR,20,34,0.4027250423506046
24,coex_STM,34,39,0.504746998904936
25,coex_HRA,26,38,0.4037196356275303
26,coex_PRS,30,36,0.47867383512544803
27,coex_ATA,26,38,0.6136133603238867
28,coex_FIB,28,35,0.3706349206349209
29,coex_BRC,26,42,0.6485671191553544
30,coex_ATT,28,38,0.8268630979157297
31,coex_TNV,18,16,0.8858251633986929
32,coex_SPL,26,43,0.13465116279069766
33,coex_LCL,15,27,-0.10623951477610039
34,coex_CLS,34,38,0.5496214929128198
35,coex_EMC,29,35,0.2264162561576355
36,coex_CLT,32,38,0.3073005093378609
37,coex_core,35,39,0.5185625185625184
38,coex_WBL,30,36,0.2934343434343434
39,co-essential,7,11,1.2929292929292928
40,GOBP,21,22,1.1773772204806683
41,ppi,48,49,0.26839627603618754
42,reactome_copathway,14,18,0.8918269230769229
43,MP,15,5,2.748245614035088
44,HP,10,34,0.47700534759358293
45,GI_net,21,20,0.03498168498168486
46,gene_gene_on_CbG_name_mapped,10,12,0.312878787878788
47,gene_gene_on_GcG_name_mapped,30,33,-0.09963924963924975
48,GOMF,7,4,
