,Layer,Primary_dilated_cardiomyopathy nodes,Urinary_retention nodes,sAB
0,coex_KDN,31,42,0.09517368483450639
1,coex_BST,21,34,0.4166122502285492
2,coex_OVR,24,39,0.1649114774114775
3,coex_LNG,25,36,0.07955373406193056
4,coex_ITI,27,41,0.09578085976938189
5,coex_VGN,28,39,0.18274954212454197
6,coex_HRV,40,27,0.11092657342657342
7,coex_MSG,44,48,0.12150032938076416
8,coex_ADV,20,35,0.16493506493506516
9,coex_EMS,34,39,0.314808913814713
10,coex_SMU,36,38,0.3614667298877827
11,coex_ARG,21,31,0.13720746363061398
12,coex_TST,30,43,-0.03996495699267277
13,coex_PIT,26,39,-0.005128205128205332
14,coex_LVR,18,33,0.03773024361259658
15,coex_THY,31,34,0.31299810246679316
16,coex_PNC,16,34,0.16242496998799538
17,coex_ATC,38,40,0.37098515519568176
18,coex_BRO,27,39,-0.04131054131054146
19,coex_SKN,24,39,0.0316213921901527
20,coex_ADS,21,30,0.29295131845841826
21,coex_GEJ,24,39,0.5346153846153845
22,coex_BRB,21,25,0.03584415584415579
23,coex_UTR,22,35,0.3986822001527881
24,coex_STM,29,40,-0.07191404297851056
25,coex_HRA,43,36,0.20236810257416682
26,coex_PRS,43,42,0.05884958634616644
27,coex_ATA,19,37,0.08603136629452379
28,coex_FIB,17,33,0.21180035650623896
29,coex_BRC,30,38,0.14661654135338376
30,coex_ATT,29,43,0.147877127327809
31,coex_TNV,26,27,0.1282051282051282
32,coex_SPL,23,37,0.1306394825186279
33,coex_LCL,24,28,0.38637278582930756
34,coex_CLS,28,41,0.15585435341532894
35,coex_EMC,19,36,0.168626110731374
36,coex_CLT,24,40,0.08229166666666665
37,coex_core,41,43,0.11344299489506526
38,coex_WBL,34,38,0.09101748807631149
39,co-essential,11,6,1.5522727272727272
40,GOBP,23,23,1.4653110047846893
41,ppi,49,49,0.17346938775510212
42,reactome_copathway,17,10,0.8660130718954249
43,MP,25,12,2.6028282828282827
44,HP,38,23,0.6462561428517835
45,GI_net,17,16,0.19574240986717273
46,gene_gene_on_CbG_name_mapped,11,9,-0.2929292929292928
47,gene_gene_on_GcG_name_mapped,27,40,0.009894969596462078
48,GOMF,2,2,
