,Layer,Abetalipoproteinaemia nodes,Trigeminal_neuralgia nodes,sAB
0,coex_KDN,40,38,0.08458164642375166
1,coex_BST,31,27,0.2819799777530587
2,coex_OVR,36,30,-0.0446969696969699
3,coex_LNG,37,33,0.45871272341860614
4,coex_ITI,40,33,0.010253217102532242
5,coex_VGN,33,34,0.002228163992870069
6,coex_HRV,24,21,1.0458333333333334
7,coex_MSG,40,36,0.16812865497076013
8,coex_ADV,28,26,0.20578958078958065
9,coex_EMS,30,27,0.3018518518518518
10,coex_SMU,30,25,0.07575757575757569
11,coex_ARG,28,30,0.17307060755336612
12,coex_TST,36,40,0.01692942942942932
13,coex_PIT,32,36,-0.029086538461538414
14,coex_LVR,35,29,0.10667408231368203
15,coex_THY,31,28,0.23344651952461826
16,coex_PNC,29,25,0.18482758620689665
17,coex_ATC,36,31,-0.033127373883271805
18,coex_BRO,36,37,-0.04274651363692472
19,coex_SKN,35,28,0.10649882903981256
20,coex_ADS,33,28,0.7253388687814915
21,coex_GEJ,32,31,0.4838709677419355
22,coex_BRB,27,34,0.4111111111111114
23,coex_UTR,21,25,0.026583850931677144
24,coex_STM,37,36,0.20628676621827324
25,coex_HRA,32,30,0.3326612903225805
26,coex_PRS,33,28,0.13136931374636296
27,coex_ATA,30,29,0.216575922565033
28,coex_FIB,26,27,0.1891630382196421
29,coex_BRC,34,39,0.33780529755761934
30,coex_ATT,32,29,0.09810550682261221
31,coex_TNV,21,17,0.7128151260504203
32,coex_SPL,36,30,0.15050505050505047
33,coex_LCL,24,19,-0.014001349527665408
34,coex_CLS,32,31,0.17362711213517645
35,coex_EMC,30,31,0.08336858804865166
36,coex_CLT,34,33,0.11857158059967543
37,coex_core,39,38,0.25
38,coex_WBL,34,31,0.3711793898700919
39,co-essential,6,16,0.5437500000000002
40,GOBP,24,10,0.5
41,ppi,50,49,0.08167594310451443
42,reactome_copathway,12,25,0.5757575757575757
43,MP,14,11,1.5727272727272723
44,HP,27,25,0.13709401709401692
45,GI_net,13,26,0.06331983805667996
46,gene_gene_on_CbG_name_mapped,11,13,0.13490675990675993
47,gene_gene_on_GcG_name_mapped,30,40,-0.04702380952380936
48,GOMF,7,3,
