,Layer,Neoplasm_of_the_pancreas nodes,Rectal_neoplasm nodes,sAB
0,coex_KDN,43,48,-0.1810515873015872
1,coex_BST,34,45,-0.13249299719887953
2,coex_OVR,32,45,-0.14390681003584227
3,coex_LNG,39,47,0.14333706606942886
4,coex_ITI,40,47,-0.1766198505436507
5,coex_VGN,35,47,-0.15843279709392855
6,coex_HRV,26,16,0.17283536585365855
7,coex_MSG,39,48,-0.014312555260830973
8,coex_ADV,32,42,0.04687499999999978
9,coex_EMS,36,44,-0.11296992481202994
10,coex_SMU,31,42,-0.008753656124403042
11,coex_ARG,32,44,-0.20536782296650724
12,coex_TST,39,48,0.05208333333333326
13,coex_PIT,35,45,0.0646727889468024
14,coex_LVR,38,44,-0.03697922744777671
15,coex_THY,31,35,-0.23979891076665272
16,coex_PNC,38,44,-0.045046096393978274
17,coex_ATC,35,44,-0.01915584415584415
18,coex_BRO,31,42,-0.01653409927824412
19,coex_SKN,33,47,-0.16240237005117164
20,coex_ADS,31,31,0.19999999999999973
21,coex_GEJ,34,43,-0.1613526846084985
22,coex_BRB,24,17,-0.3035628885700623
23,coex_UTR,28,43,-0.3663098314261106
24,coex_STM,39,47,-0.08411043022621434
25,coex_HRA,34,42,0.12007961079168528
26,coex_PRS,34,45,-0.25265682030387904
27,coex_ATA,28,40,0.006318681318681296
28,coex_FIB,33,46,-0.2361343366778148
29,coex_BRC,32,45,-0.10682720057720063
30,coex_ATT,31,40,-0.14743589743589736
31,coex_TNV,22,11,0.5015151515151515
32,coex_SPL,35,46,-0.137644468904788
33,coex_LCL,24,38,-0.07021607832839405
34,coex_CLS,33,46,-0.21436036789297663
35,coex_EMC,36,45,-0.1771672771672772
36,coex_CLT,35,48,-0.284762075561932
37,coex_core,42,48,0.18996305418719195
38,coex_WBL,35,43,-0.09434364085526892
39,co-essential,19,25,0.29433638443935917
40,GOBP,8,18,0.7264705882352942
41,ppi,50,49,-0.05053391053391065
42,reactome_copathway,36,25,0.08787878787878789
43,MP,9,20,1.457936507936508
44,HP,25,30,-0.15575757575757576
45,GI_net,33,35,-0.11253434065934043
46,gene_gene_on_CbG_name_mapped,14,15,0.10073891625615783
47,gene_gene_on_GcG_name_mapped,34,40,-0.24218998410174875
48,GOMF,3,6,
