,Layer,Gingivostomatitis nodes,Periodontitis nodes,sAB
0,coex_KDN,28,36,-0.17261904761904767
1,coex_BST,8,19,-0.9861111111111112
2,coex_OVR,13,20,-0.12296037296037321
3,coex_LNG,39,28,0.07407407407407396
4,coex_ITI,20,28,-0.6160714285714288
5,coex_VGN,15,21,0.17708333333333348
6,coex_HRV,21,25,0.1948412698412696
7,coex_MSG,36,30,-0.24974747474747483
8,coex_ADV,31,27,0.1725762918462408
9,coex_EMS,11,19,-1.1186868686868685
10,coex_SMU,14,17,-0.7307692307692308
11,coex_ARG,11,17,-0.15068754774637116
12,coex_TST,19,21,-0.19617794486215523
13,coex_PIT,17,24,-0.22708333333333353
14,coex_LVR,34,30,-0.17092469171576674
15,coex_THY,15,17,0.04901960784313708
16,coex_PNC,20,24,-0.09863498483316491
17,coex_ATC,29,27,0.0006385696040867028
18,coex_BRO,21,21,-2.220446049250313e-16
19,coex_SKN,19,17,-0.3784461152882208
20,coex_ADS,22,20,-0.29166666666666674
21,coex_GEJ,32,26,-0.1034429824561407
22,coex_BRB,20,20,-0.12297570850202422
23,coex_UTR,7,12,-0.30137509549274233
24,coex_STM,31,27,-0.14582045894615425
25,coex_HRA,21,25,0.13706140350877205
26,coex_PRS,9,18,-0.1568627450980391
27,coex_ATA,34,19,0.14138286893704843
28,coex_FIB,6,14,0.13095238095238093
29,coex_BRC,13,16,-0.4725629973474801
30,coex_ATT,18,18,-0.17361111111111116
31,coex_TNV,13,18,-0.2705882352941176
32,coex_SPL,37,26,0.017300267300267125
33,coex_LCL,13,11,0.26923076923076916
34,coex_CLS,12,18,-0.43868686868686835
35,coex_EMC,31,23,0.22674323215750603
36,coex_CLT,21,18,-0.03750000000000009
37,coex_core,36,31,0.21950844854070684
38,coex_WBL,35,28,0.22628083491461082
39,co-essential,1,10,
40,GOBP,18,17,-0.1875
41,ppi,47,49,-0.09659049790128815
42,reactome_copathway,20,29,-0.1962006079027354
43,MP,14,15,-0.34615384615384626
44,HP,14,13,-0.18243793243793238
45,GI_net,12,21,0.075956937799043
46,gene_gene_on_CbG_name_mapped,18,25,-0.09284237726098188
47,gene_gene_on_GcG_name_mapped,25,30,-0.27636363636363637
48,GOMF,9,2,
