,Layer,Epididymitis nodes,Cholelithiasis nodes,sAB
0,coex_KDN,42,30,0.1976190476190478
1,coex_BST,29,22,0.3201298701298705
2,coex_OVR,30,20,0.3339141599413056
3,coex_LNG,35,28,0.543472906403941
4,coex_ITI,43,27,0.6426479635781961
5,coex_VGN,30,24,0.07129629629629641
6,coex_HRV,21,19,0.6335839598997495
7,coex_MSG,42,25,0.3553731343283584
8,coex_ADV,38,20,0.5952153110047844
9,coex_EMS,29,22,0.4974337697461433
10,coex_SMU,24,21,0.3129587803500846
11,coex_ARG,25,22,0.439393939393939
12,coex_TST,28,26,0.20609483109483118
13,coex_PIT,33,24,0.3121012759170656
14,coex_LVR,28,32,0.5764316502463056
15,coex_THY,24,21,0.6460568417090156
16,coex_PNC,27,19,0.34388507500635646
17,coex_ATC,32,21,0.4604812443845461
18,coex_BRO,31,22,0.1855115365462292
19,coex_SKN,32,22,0.5321969696969697
20,coex_ADS,31,16,0.3697522206638615
21,coex_GEJ,36,19,1.0950988582567531
22,coex_BRB,25,13,-0.003931623931623829
23,coex_UTR,20,17,0.17655658754729942
24,coex_STM,32,23,0.4171731338631761
25,coex_HRA,28,21,0.2480004921865384
26,coex_PRS,28,20,0.3126083530338848
27,coex_ATA,29,14,0.6692307692307691
28,coex_FIB,22,17,0.3560606060606062
29,coex_BRC,29,23,0.34814323607427067
30,coex_ATT,26,21,0.7247204968944101
31,coex_TNV,27,17,1.2032368502956738
32,coex_SPL,23,27,0.5668599033816424
33,coex_LCL,16,14,-0.0672619047619043
34,coex_CLS,35,26,1.08231598909565
35,coex_EMC,28,26,0.32829670329670324
36,coex_CLT,33,24,0.4871794871794872
37,coex_core,44,27,0.6604783674551116
38,coex_WBL,30,24,0.7134259259259257
39,co-essential,15,4,1.158730158730159
40,GOBP,9,32,0.765625
41,ppi,49,48,0.48458648923486924
42,reactome_copathway,22,15,0.9879032258064515
43,MP,15,13,1.3849206349206349
44,HP,14,20,0.6806722689075633
45,GI_net,25,12,0.7453153153153154
46,gene_gene_on_CbG_name_mapped,10,19,0.31887477313974566
47,gene_gene_on_GcG_name_mapped,28,29,0.10498228329444315
48,GOMF,5,4,
