,Layer,Extrapyramidal_disease nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,37,42,0.0496350781160908
1,coex_BST,30,18,0.41455938697317984
2,coex_OVR,29,22,0.10746753246753249
3,coex_LNG,29,32,0.3498887652947724
4,coex_ITI,38,38,0.26315789473684226
5,coex_VGN,36,25,0.3573180076628355
6,coex_HRV,17,17,0.5077428698752229
7,coex_MSG,37,23,0.22221321771546654
8,coex_ADV,31,26,0.7998257747742992
9,coex_EMS,23,19,0.3556132570895083
10,coex_SMU,21,19,0.06760651629072667
11,coex_ARG,30,18,0.05024154589371976
12,coex_TST,32,24,0.09002976190476208
13,coex_PIT,33,26,0.06918928529098012
14,coex_LVR,29,30,0.10120787064095094
15,coex_THY,22,29,0.6003787878787881
16,coex_PNC,32,20,0.21291903858317562
17,coex_ATC,30,25,0.3272727272727274
18,coex_BRO,38,23,0.2741118655512622
19,coex_SKN,33,23,0.35618729096989954
20,coex_ADS,30,24,1.0342592592592594
21,coex_GEJ,26,22,0.455860805860806
22,coex_BRB,28,18,0.2336367880485528
23,coex_UTR,24,20,0.23128314973480224
24,coex_STM,33,28,0.5029440898084965
25,coex_HRA,27,20,0.22222222222222232
26,coex_PRS,29,25,0.32946949602122033
27,coex_ATA,30,24,0.42247126436781635
28,coex_FIB,21,17,0.1597375792422231
29,coex_BRC,28,24,0.20511904761904765
30,coex_ATT,28,26,0.2880690737833591
31,coex_TNV,21,20,1.2197368421052635
32,coex_SPL,28,36,0.2785218253968256
33,coex_LCL,18,18,0.44751344086021505
34,coex_CLS,31,35,0.4158122119815668
35,coex_EMC,32,25,0.16284090909090887
36,coex_CLT,33,30,0.28415300546448075
37,coex_core,38,35,0.5156194488149011
38,coex_WBL,27,32,0.01452644381669832
39,co-essential,10,4,0.833333333333333
40,GOBP,16,20,0.5033613445378151
41,ppi,49,50,0.039214594928880686
42,reactome_copathway,15,21,0.39772727272727293
43,MP,19,19,0.8837483493680436
44,HP,22,19,1.2202123935114946
45,GI_net,16,20,0.30514705882352944
46,gene_gene_on_CbG_name_mapped,14,15,0.03776683087027921
47,gene_gene_on_GcG_name_mapped,38,33,-0.028489116517285584
48,GOMF,5,4,
