,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Respiratory_insufficiency nodes,sAB
0,coex_KDN,34,42,0.006586418351124168
1,coex_BST,25,34,0.337203302373581
2,coex_OVR,18,34,0.1090849673202614
3,coex_LNG,27,37,0.2532063313313313
4,coex_ITI,33,39,0.09149184149184153
5,coex_VGN,34,39,0.2300357445401764
6,coex_HRV,16,19,-0.12749060150375913
7,coex_MSG,25,43,0.2218331053351572
8,coex_ADV,23,33,0.45972143798230736
9,coex_EMS,28,33,0.5511252879673934
10,coex_SMU,24,41,0.2846310193871169
11,coex_ARG,30,36,0.3941919191919192
12,coex_TST,32,40,0.14027777777777772
13,coex_PIT,35,38,0.290714800700381
14,coex_LVR,22,39,0.10757575757575744
15,coex_THY,23,37,0.6322393822393821
16,coex_PNC,30,35,0.22194813409234682
17,coex_ATC,29,35,0.46745689655172407
18,coex_BRO,45,35,0.3882130527700147
19,coex_SKN,25,37,0.26904007455731604
20,coex_ADS,21,29,1.0675144155497005
21,coex_GEJ,29,30,0.3394341290893017
22,coex_BRB,35,18,0.06072177298592418
23,coex_UTR,17,32,0.06134621401752183
24,coex_STM,29,36,0.23155761862658397
25,coex_HRA,23,37,0.23675591582739708
26,coex_PRS,23,38,0.08824136249390424
27,coex_ATA,25,31,0.5937561094819164
28,coex_FIB,16,30,0.383695652173913
29,coex_BRC,37,37,-0.03975714845280054
30,coex_ATT,26,40,0.6313585607940442
31,coex_TNV,21,18,1.261764705882353
32,coex_SPL,24,34,0.20774171737660585
33,coex_LCL,11,28,0.11992061992061975
34,coex_CLS,31,38,0.2952971947279348
35,coex_EMC,22,36,0.3708475734791523
36,coex_CLT,30,40,0.17619047619047623
37,coex_core,32,41,0.38130638155696617
38,coex_WBL,18,36,0.5
39,co-essential,6,13,-0.42645074224021595
40,GOBP,29,20,0.3071428571428574
41,ppi,50,50,0.0
42,reactome_copathway,13,7,0.7083333333333335
43,MP,12,13,0.6136363636363633
44,HP,20,31,0.3547280202403542
45,GI_net,17,17,-0.08823529411764719
46,gene_gene_on_CbG_name_mapped,17,12,0.08637592968221774
47,gene_gene_on_GcG_name_mapped,38,41,0.10074178190149663
48,GOMF,6,6,
