,Layer,Extrapyramidal_disease nodes,Mastocytosis nodes,sAB
0,coex_KDN,37,42,0.2796887796887797
1,coex_BST,30,22,0.15712332421796837
2,coex_OVR,29,29,-0.016279923947800423
3,coex_LNG,29,33,0.7962719520005392
4,coex_ITI,38,33,0.3178212074303406
5,coex_VGN,36,33,0.11572244180939828
6,coex_HRV,17,22,0.5585150143973672
7,coex_MSG,37,33,0.223142623142623
8,coex_ADV,31,26,0.6783437940933199
9,coex_EMS,23,35,0.866769195716564
10,coex_SMU,21,20,0.07328687572589998
11,coex_ARG,30,27,0.2227920227920226
12,coex_TST,32,31,-0.04581893241167445
13,coex_PIT,33,29,0.10602689857417347
14,coex_LVR,29,27,0.15975643130815564
15,coex_THY,22,22,0.6785714285714284
16,coex_PNC,32,23,0.1252402472598826
17,coex_ATC,30,32,0.3070974576271186
18,coex_BRO,38,32,0.07323778195488728
19,coex_SKN,33,33,0.22727272727272707
20,coex_ADS,30,30,1.27816091954023
21,coex_GEJ,26,33,1.0204950416814822
22,coex_BRB,28,25,0.18337912087912134
23,coex_UTR,24,24,0.2980769230769229
24,coex_STM,33,29,-0.1302507836990594
25,coex_HRA,27,21,0.2833333333333332
26,coex_PRS,29,26,0.3187002652519897
27,coex_ATA,30,28,0.3106763925729443
28,coex_FIB,21,16,0.08538449163449169
29,coex_BRC,28,23,0.2970862257946658
30,coex_ATT,28,29,0.6642948367086299
31,coex_TNV,21,24,1.5529279279279278
32,coex_SPL,28,27,0.1636964886964889
33,coex_LCL,18,20,0.06666666666666643
34,coex_CLS,31,29,0.49236188357434196
35,coex_EMC,32,28,0.2027401477832511
36,coex_CLT,33,35,0.2863499245852186
37,coex_core,38,36,0.5244360902255638
38,coex_WBL,27,32,0.24281034212178287
39,co-essential,10,8,2.4375
40,GOBP,16,13,-0.12252747252747209
41,ppi,49,48,0.12523888421347928
42,reactome_copathway,15,20,0.28214285714285703
43,MP,19,9,2.6944444444444446
44,HP,22,18,0.7244949494949493
45,GI_net,16,22,-0.01285885167464107
46,gene_gene_on_CbG_name_mapped,14,14,-0.03571428571428581
47,gene_gene_on_GcG_name_mapped,38,26,0.07692307692307687
48,GOMF,5,6,
