,Layer,Extrapyramidal_disease nodes,Joint_hemorrhage nodes,sAB
0,coex_KDN,37,38,0.18423423423423424
1,coex_BST,30,17,0.6223436246992784
2,coex_OVR,29,26,0.4909951159951158
3,coex_LNG,29,33,0.4712475140728758
4,coex_ITI,38,25,0.44075187969924823
5,coex_VGN,36,30,0.13686868686868703
6,coex_HRV,17,21,1.0782102314610056
7,coex_MSG,37,37,0.21621621621621623
8,coex_ADV,31,23,1.268349696119682
9,coex_EMS,23,21,0.78639383871942
10,coex_SMU,21,27,0.6369047619047619
11,coex_ARG,30,21,0.5499999999999998
12,coex_TST,32,30,0.2296034946236558
13,coex_PIT,33,27,0.1822922839871992
14,coex_LVR,29,40,0.3839455272363821
15,coex_THY,22,26,0.7956825782912738
16,coex_PNC,32,29,0.5155728587319244
17,coex_ATC,30,31,0.33003701745108405
18,coex_BRO,38,27,0.4691258059679111
19,coex_SKN,33,30,0.376984126984127
20,coex_ADS,30,31,0.5901551207473998
21,coex_GEJ,26,20,1.6349752586594692
22,coex_BRB,28,20,0.37440476190476213
23,coex_UTR,24,9,0.958333333333333
24,coex_STM,33,30,0.3809985096870341
25,coex_HRA,27,18,0.6744186046511627
26,coex_PRS,29,21,0.26078817733990123
27,coex_ATA,30,31,0.7346076537283137
28,coex_FIB,21,13,0.31620340443869877
29,coex_BRC,28,17,0.29288048552754464
30,coex_ATT,28,30,0.6534391534391535
31,coex_TNV,21,26,1.0097674418604652
32,coex_SPL,28,35,0.15753968253968242
33,coex_LCL,18,8,-0.4327898550724636
34,coex_CLS,31,20,0.596366723259762
35,coex_EMC,32,32,0.346774193548387
36,coex_CLT,33,27,0.8019339417644504
37,coex_core,38,31,0.45267075878281293
38,coex_WBL,27,31,0.09432291022947314
39,co-essential,10,0,
40,GOBP,16,29,1.7341463414634144
41,ppi,49,49,0.24489795918367352
42,reactome_copathway,15,21,1.067857142857143
43,MP,19,22,2.3611111111111107
44,HP,22,24,0.9048089591567852
45,GI_net,16,8,-0.25
46,gene_gene_on_CbG_name_mapped,14,16,0.4056547619047619
47,gene_gene_on_GcG_name_mapped,38,33,0.16229193341869408
48,GOMF,5,7,
