,Layer,Erythroderma nodes,Exanthem nodes,sAB
0,coex_KDN,25,44,-0.07542335115864529
1,coex_BST,19,22,-0.09893483709273188
2,coex_OVR,31,37,-0.0030581449936288863
3,coex_LNG,27,38,0.14003930591506086
4,coex_ITI,24,42,0.09672451532207615
5,coex_VGN,41,38,0.04288727752142374
6,coex_HRV,9,24,0.12184343434343425
7,coex_MSG,38,41,-0.006723160169642917
8,coex_ADV,13,30,0.21282051282051295
9,coex_EMS,24,33,0.033293460925039486
10,coex_SMU,20,31,0.11597899474868711
11,coex_ARG,15,34,0.12009803921568607
12,coex_TST,23,38,0.18284334639103306
13,coex_PIT,17,35,0.020297349709114565
14,coex_LVR,18,40,-0.2048371647509577
15,coex_THY,21,35,0.179761904761905
16,coex_PNC,13,36,-0.07166841095412524
17,coex_ATC,20,34,-0.16432461873638338
18,coex_BRO,15,33,0.08095238095238111
19,coex_SKN,40,40,0.0739208049334632
20,coex_ADS,35,33,0.5112426788897375
21,coex_GEJ,27,40,0.12405158194631882
22,coex_BRB,9,25,0.5657516339869284
23,coex_UTR,11,25,0.29393939393939394
24,coex_STM,21,37,-0.10895131584786744
25,coex_HRA,16,31,-0.0803571428571428
26,coex_PRS,24,26,-0.15108974358974359
27,coex_ATA,17,31,0.03037062457103623
28,coex_FIB,12,20,0.04889354066985652
29,coex_BRC,16,27,0.034533807062876676
30,coex_ATT,22,35,0.19429590017825316
31,coex_TNV,25,24,0.6476190476190475
32,coex_SPL,19,42,0.3440671350507416
33,coex_LCL,10,19,-0.44047619047619024
34,coex_CLS,21,34,0.31447963800905
35,coex_EMC,30,37,-0.006202356202356096
36,coex_CLT,21,35,-0.06391941391941391
37,coex_core,38,46,0.2718622367696899
38,coex_WBL,20,39,0.1890047805302042
39,co-essential,2,11,0.31468531468531413
40,GOBP,25,21,0.8130434782608695
41,ppi,47,50,0.04880894933099378
42,reactome_copathway,14,21,0.3389162561576353
43,MP,22,10,1.4590909090909085
44,HP,37,36,0.09395182854086936
45,GI_net,13,26,-0.08461538461538454
46,gene_gene_on_CbG_name_mapped,3,11,0.06060606060606055
47,gene_gene_on_GcG_name_mapped,22,30,-0.1224941724941726
48,GOMF,9,9,-0.8666666666666667
