,Layer,Thrombophlebitis nodes,Thrombophilia nodes,sAB
0,coex_KDN,46,40,0.07071536905965603
1,coex_BST,38,22,-0.13014354066985656
2,coex_OVR,38,21,0.06563017713775965
3,coex_LNG,43,27,0.09037775316845087
4,coex_ITI,42,25,0.012935323383084452
5,coex_VGN,41,30,0.058919177427068536
6,coex_HRV,21,24,0.17462121212121184
7,coex_MSG,43,33,-0.10491079707725981
8,coex_ADV,34,22,0.5735294117647058
9,coex_EMS,39,22,0.1917822614543927
10,coex_SMU,39,23,0.09623476103139494
11,coex_ARG,38,17,-0.2813718323586747
12,coex_TST,45,30,-0.014444444444444482
13,coex_PIT,42,29,0.058417219961447664
14,coex_LVR,43,42,0.08242134062927486
15,coex_THY,38,23,0.18398544472371237
16,coex_PNC,43,29,0.22892720306513414
17,coex_ATC,40,23,0.1665286404416837
18,coex_BRO,41,28,0.238655462184874
19,coex_SKN,45,29,-0.05718390804597728
20,coex_ADS,33,25,0.09878787878787865
21,coex_GEJ,38,22,-0.18075711179159493
22,coex_BRB,18,21,0.12114845938375352
23,coex_UTR,38,10,0.742025518341308
24,coex_STM,43,29,0.34614185155484267
25,coex_HRA,41,23,0.09552179128348648
26,coex_PRS,40,25,0.10576923076923062
27,coex_ATA,35,26,0.46031345703476845
28,coex_FIB,40,18,-0.1088493292053665
29,coex_BRC,39,24,-0.03549465961808185
30,coex_ATT,41,30,0.5018136335209502
31,coex_TNV,17,25,0.1623168498168499
32,coex_SPL,45,39,0.01965811965811959
33,coex_LCL,31,11,-0.009284028324154203
34,coex_CLS,46,23,0.19466403162055324
35,coex_EMC,40,29,-0.10184637159032417
36,coex_CLT,44,26,-0.09423076923076912
37,coex_core,43,32,-0.016633229610219402
38,coex_WBL,39,31,0.406250738508803
39,co-essential,12,8,2.1208333333333327
40,GOBP,22,24,-0.19627192982456165
41,ppi,49,49,0.010204081632653184
42,reactome_copathway,20,24,0.09659090909090917
43,MP,14,15,0.033333333333333215
44,HP,14,31,-0.1195477440788768
45,GI_net,24,17,0.04296675191815824
46,gene_gene_on_CbG_name_mapped,13,22,-0.08616383616383638
47,gene_gene_on_GcG_name_mapped,37,26,-0.003283503283503464
48,GOMF,4,4,
