,Layer,West_syndrome nodes,Bronchiolitis nodes,sAB
0,coex_KDN,46,34,0.39120843989769805
1,coex_BST,37,23,0.295607678616832
2,coex_OVR,38,25,0.30676994906621413
3,coex_LNG,38,34,0.5266021969135386
4,coex_ITI,40,32,0.4794354838709678
5,coex_VGN,40,25,0.2875000000000001
6,coex_HRV,23,27,0.983353947639662
7,coex_MSG,42,32,0.18516731016731014
8,coex_ADV,35,29,0.5751077586206894
9,coex_EMS,40,22,0.3386446886446888
10,coex_SMU,39,25,0.5082211538461539
11,coex_ARG,40,24,0.64375
12,coex_TST,44,30,0.3179156429156431
13,coex_PIT,43,31,0.44449654080186707
14,coex_LVR,38,31,0.3602950222681527
15,coex_THY,37,28,1.1796483983983985
16,coex_PNC,37,28,0.7952595452595452
17,coex_ATC,39,29,0.6012780323125149
18,coex_BRO,42,32,0.9471216889588252
19,coex_SKN,41,23,0.24423382820784711
20,coex_ADS,21,29,0.7169071076706546
21,coex_GEJ,36,30,0.8230286738351253
22,coex_BRB,20,26,1.1055555555555556
23,coex_UTR,34,13,0.3806001188354129
24,coex_STM,39,28,0.47212426876606006
25,coex_HRA,38,26,0.7042522974101919
26,coex_PRS,36,24,0.4923371647509578
27,coex_ATA,38,32,0.694508009153318
28,coex_FIB,35,19,0.4028629265471373
29,coex_BRC,42,22,1.196496212121212
30,coex_ATT,38,24,1.7708687040181097
31,coex_TNV,16,24,1.0922867892976589
32,coex_SPL,43,26,0.19160768452982802
33,coex_LCL,27,22,0.18684003152088247
34,coex_CLS,38,27,0.24072574598890406
35,coex_EMC,35,24,0.37087368845843427
36,coex_CLT,38,27,0.37454747981063763
37,coex_core,39,36,0.6483579206181949
38,coex_WBL,36,37,0.569227678382608
39,co-essential,11,7,0.4119769119769119
40,GOBP,22,16,1.2989510489510492
41,ppi,49,50,0.3309400123685837
42,reactome_copathway,18,24,0.8772352734922861
43,MP,5,13,3.5735294117647056
44,HP,34,19,0.6856854956481104
45,GI_net,20,17,-0.03991596638655448
46,gene_gene_on_CbG_name_mapped,12,14,0.3456959706959708
47,gene_gene_on_GcG_name_mapped,33,38,0.1341341509984948
48,GOMF,4,2,
