,Layer,Disorder_of_lung nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,38,29,0.20909541006523757
1,coex_BST,20,19,0.35769230769230753
2,coex_OVR,28,21,0.14741641337386024
3,coex_LNG,33,31,0.7335722819593786
4,coex_ITI,33,24,0.2544856459330145
5,coex_VGN,28,25,0.22838274932614566
6,coex_HRV,26,16,1.1406617647058823
7,coex_MSG,33,26,0.21265457706135682
8,coex_ADV,19,20,0.350438596491228
9,coex_EMS,19,22,0.08662037577313564
10,coex_SMU,18,19,0.19654528478057864
11,coex_ARG,22,22,0.25
12,coex_TST,34,24,0.26339587559161615
13,coex_PIT,30,25,0.4060212201591513
14,coex_LVR,33,33,0.3170995670995671
15,coex_THY,29,19,0.9379840221733104
16,coex_PNC,25,21,-0.13548654244306402
17,coex_ATC,26,22,0.7311492854971116
18,coex_BRO,27,24,0.4479847494553373
19,coex_SKN,27,18,0.4655469422911285
20,coex_ADS,28,16,0.5484226959517655
21,coex_GEJ,22,19,0.24751066856329995
22,coex_BRB,27,15,0.5904904904904904
23,coex_UTR,13,21,0.29961215255332885
24,coex_STM,34,26,0.21553544494720955
25,coex_HRA,25,19,0.8633465932272539
26,coex_PRS,24,27,0.37570512820512825
27,coex_ATA,28,17,0.759407096171802
28,coex_FIB,19,17,0.2477532679738561
29,coex_BRC,26,23,0.41228260869565236
30,coex_ATT,24,17,0.6559480676328504
31,coex_TNV,21,15,0.8322510822510822
32,coex_SPL,24,38,0.8222936050804905
33,coex_LCL,16,16,0.5899014778325125
34,coex_CLS,29,24,0.51130174291939
35,coex_EMC,27,26,0.32518033581863337
36,coex_CLT,32,24,0.16132697947214059
37,coex_core,35,32,0.6125982651124966
38,coex_WBL,33,34,0.5833709828017226
39,co-essential,10,11,0.2865800865800865
40,GOBP,14,28,1.2371794871794872
41,ppi,49,50,0.2228798185941041
42,reactome_copathway,18,10,0.83531746031746
43,MP,10,15,2.2892857142857146
44,HP,23,22,0.7192358366271407
45,GI_net,18,16,0.5208333333333335
46,gene_gene_on_CbG_name_mapped,18,15,0.22070707070707085
47,gene_gene_on_GcG_name_mapped,36,32,0.17228349673202614
48,GOMF,8,2,
