,Layer,Pulmonary_hypertension nodes,Hypoglycemia nodes,sAB
0,coex_KDN,40,33,0.4070672478206727
1,coex_BST,26,25,0.6222222222222222
2,coex_OVR,29,21,0.006547619047619246
3,coex_LNG,31,31,0.6567865326987485
4,coex_ITI,41,33,0.5397914544256008
5,coex_VGN,32,28,0.17366071428571428
6,coex_HRV,25,26,0.9134615384615388
7,coex_MSG,38,35,0.17525491811721072
8,coex_ADV,24,24,0.708333333333333
9,coex_EMS,21,27,0.3482142857142856
10,coex_SMU,24,24,0.41666666666666696
11,coex_ARG,20,29,0.5370340745480724
12,coex_TST,33,29,0.09419557083628272
13,coex_PIT,31,36,0.3023879346459988
14,coex_LVR,29,30,0.42497564776933583
15,coex_THY,26,23,0.5527097126476006
16,coex_PNC,26,33,0.43839634941329875
17,coex_ATC,26,27,0.4146153846153844
18,coex_BRO,31,33,0.15687622189638306
19,coex_SKN,27,26,0.18366661291189557
20,coex_ADS,31,23,0.8090748532543763
21,coex_GEJ,22,25,0.6257142857142859
22,coex_BRB,26,24,0.12076923076923096
23,coex_UTR,18,15,0.6222222222222222
24,coex_STM,36,37,0.300104899419968
25,coex_HRA,20,26,0.608888888888889
26,coex_PRS,28,28,0.11148351648351662
27,coex_ATA,28,26,0.11217948717948678
28,coex_FIB,17,22,0.3238379267791034
29,coex_BRC,27,24,0.102260348583878
30,coex_ATT,25,25,0.48666666666666636
31,coex_TNV,31,22,0.23268817204301095
32,coex_SPL,24,29,0.02083333333333348
33,coex_LCL,10,13,0.23015873015872979
34,coex_CLS,33,27,0.3308125392341492
35,coex_EMC,27,30,0.09478114478114463
36,coex_CLT,35,30,0.3831501831501831
37,coex_core,33,32,0.3895405669599219
38,coex_WBL,21,24,0.08095238095238111
39,co-essential,3,10,-0.4444444444444442
40,GOBP,10,16,0.889583333333333
41,ppi,47,49,0.29075752641482144
42,reactome_copathway,20,32,1.119298245614035
43,MP,9,16,0.1875
44,HP,22,32,0.8572180134680136
45,GI_net,17,19,0.20959595959595934
46,gene_gene_on_CbG_name_mapped,21,18,0.027167277167277293
47,gene_gene_on_GcG_name_mapped,33,33,0.0
48,GOMF,2,8,
