,Layer,Prostate_neoplasm nodes,Head_and_neck_cancer nodes,sAB
0,coex_KDN,42,47,-0.11858817782120168
1,coex_BST,31,35,0.08138528138528134
2,coex_OVR,32,39,-0.018693134822167057
3,coex_LNG,42,44,0.04751858614842819
4,coex_ITI,41,47,-0.005059678256357003
5,coex_VGN,36,43,-0.05335181369181963
6,coex_HRV,26,24,0.2622789115646258
7,coex_MSG,41,43,0.14621316478945534
8,coex_ADV,27,27,0.0185185185185186
9,coex_EMS,32,33,-0.00214889277389263
10,coex_SMU,34,26,-0.14097625538303493
11,coex_ARG,32,38,-0.01736648606811153
12,coex_TST,45,41,-0.11056280330245172
13,coex_PIT,35,37,-0.04015444015444003
14,coex_LVR,37,40,0.002829940329940328
15,coex_THY,38,39,0.12176788124156523
16,coex_PNC,30,36,0.23686868686868667
17,coex_ATC,33,34,0.045454545454545414
18,coex_BRO,37,38,0.19932195353247972
19,coex_SKN,32,41,0.1420141620771047
20,coex_ADS,39,34,0.4717460115140315
21,coex_GEJ,32,40,-0.024154006912628034
22,coex_BRB,29,32,0.3472035754663654
23,coex_UTR,21,30,-0.09455782312925143
24,coex_STM,42,46,-0.21179183135704882
25,coex_HRA,34,34,0.1470588235294117
26,coex_PRS,36,35,-0.11428571428571432
27,coex_ATA,33,31,0.1104594330400781
28,coex_FIB,29,36,-0.15277777777777768
29,coex_BRC,35,39,0.04216414216414188
30,coex_ATT,29,35,-0.017105263157894512
31,coex_TNV,23,23,0.09470079970585532
32,coex_SPL,29,38,-0.16960343473196637
33,coex_LCL,29,33,-0.0031986531986532007
34,coex_CLS,36,46,-0.025885225885225793
35,coex_EMC,36,42,-0.0576441102756895
36,coex_CLT,40,43,0.11836612999403684
37,coex_core,45,46,0.10128269198733975
38,coex_WBL,37,38,-0.25331436699857757
39,co-essential,20,24,0.7678571428571432
40,GOBP,8,15,1.6309523809523805
41,ppi,50,49,-0.09155638012780853
42,reactome_copathway,30,25,0.04198717948717934
43,MP,8,13,-0.6736111111111107
44,HP,19,22,-0.24512778620609166
45,GI_net,31,29,-0.06546162402669631
46,gene_gene_on_CbG_name_mapped,16,15,-0.09912634408602128
47,gene_gene_on_GcG_name_mapped,35,31,-0.06381790252758002
48,GOMF,6,6,4.75
