,Layer,Pulmonary_edema nodes,Cardiomyopathy nodes,sAB
0,coex_KDN,37,32,0.23673336798336808
1,coex_BST,21,20,0.20945945945945965
2,coex_OVR,26,26,0.17478129713423884
3,coex_LNG,25,21,0.3039337474120085
4,coex_ITI,36,30,0.6154040404040404
5,coex_VGN,25,30,-0.05098039215686301
6,coex_HRV,25,41,0.714870657797487
7,coex_MSG,36,45,0.155246913580247
8,coex_ADV,26,17,0.5417236662106699
9,coex_EMS,22,33,0.35663802660753907
10,coex_SMU,24,32,1.0051877470355732
11,coex_ARG,22,19,-0.351266192087758
12,coex_TST,31,31,0.007230255839821842
13,coex_PIT,30,20,-0.05833333333333357
14,coex_LVR,32,19,0.23948658410732726
15,coex_THY,29,31,0.8357142857142859
16,coex_PNC,23,16,0.2398169336384437
17,coex_ATC,30,38,0.5900601348972019
18,coex_BRO,30,20,-0.02666666666666684
19,coex_SKN,29,24,0.2580242897419214
20,coex_ADS,28,23,0.12389610389610395
21,coex_GEJ,25,21,0.3014155712841253
22,coex_BRB,30,20,0.34999999999999987
23,coex_UTR,17,18,0.999906629318394
24,coex_STM,32,29,0.5292273176936124
25,coex_HRA,30,42,0.23324052259584493
26,coex_PRS,22,42,-0.03968253968253954
27,coex_ATA,29,19,0.4770258980785296
28,coex_FIB,21,11,0.26555023923444976
29,coex_BRC,24,25,0.09575757575757571
30,coex_ATT,24,27,0.22185624359537437
31,coex_TNV,28,28,0.9121447028423773
32,coex_SPL,26,24,-0.07211538461538458
33,coex_LCL,15,15,0.27056856187290945
34,coex_CLS,27,26,0.5719871794871798
35,coex_EMC,24,23,0.46974637681159415
36,coex_CLT,29,26,0.5137362637362639
37,coex_core,38,42,1.0134310134310136
38,coex_WBL,29,29,0.5597902802984471
39,co-essential,8,5,-0.32788461538461533
40,GOBP,19,29,1.6231455493183637
41,ppi,50,49,0.16299319727891182
42,reactome_copathway,19,10,0.6499999999999999
43,MP,18,31,-0.3375729238160603
44,HP,15,39,0.013675213675213627
45,GI_net,19,12,-0.3492063492063493
46,gene_gene_on_CbG_name_mapped,21,5,-0.04578754578754585
47,gene_gene_on_GcG_name_mapped,36,32,-0.2597017973856208
48,GOMF,8,4,
