,Layer,Myopathy nodes,West_syndrome nodes,sAB
0,coex_KDN,32,46,0.14470108695652173
1,coex_BST,24,37,0.25981800766283536
2,coex_OVR,23,38,0.1395318302884796
3,coex_LNG,33,38,0.19306860902255618
4,coex_ITI,32,40,-0.024652777777777635
5,coex_VGN,25,40,0.22750000000000004
6,coex_HRV,16,23,0.23803827751196183
7,coex_MSG,34,42,0.20274952086097597
8,coex_ADV,27,35,0.21241565452091749
9,coex_EMS,26,40,0.3502564102564101
10,coex_SMU,28,39,0.3030998851894373
11,coex_ARG,24,40,0.1494623655913978
12,coex_TST,27,44,-0.01566723573765838
13,coex_PIT,27,43,0.11934293097083781
14,coex_LVR,32,38,0.10913312693498445
15,coex_THY,23,37,0.6798438048438054
16,coex_PNC,23,37,0.36958547753150484
17,coex_ATC,25,39,0.3091346153846155
18,coex_BRO,27,42,0.918022458066142
19,coex_SKN,29,41,0.36437546193643744
20,coex_ADS,16,21,0.3583333333333334
21,coex_GEJ,31,36,0.27439343810311545
22,coex_BRB,15,20,0.7738095238095237
23,coex_UTR,21,34,0.2941044342265209
24,coex_STM,30,39,-0.05234113712374566
25,coex_HRA,27,38,0.16171261487050947
26,coex_PRS,32,36,0.23084844594233145
27,coex_ATA,25,38,0.40874363327674024
28,coex_FIB,24,35,0.021579903147699753
29,coex_BRC,24,42,0.3072916666666665
30,coex_ATT,25,38,0.4300362976406533
31,coex_TNV,18,16,0.5942752100840338
32,coex_SPL,32,43,0.16756782945736437
33,coex_LCL,18,27,-0.1148148148148147
34,coex_CLS,32,38,0.21172997491320977
35,coex_EMC,26,35,0.31885826038368403
36,coex_CLT,28,38,-0.054084073820915846
37,coex_core,37,39,0.19172083784759852
38,coex_WBL,32,36,0.7032828282828283
39,co-essential,7,11,0.18181818181818166
40,GOBP,27,22,0.8646561771561774
41,ppi,49,49,0.15306122448979576
42,reactome_copathway,18,18,0.8847841555977229
43,MP,18,5,2.4936974789915967
44,HP,26,34,0.2972850678733032
45,GI_net,19,20,-0.00020242914979773374
46,gene_gene_on_CbG_name_mapped,16,12,0.08779761904761929
47,gene_gene_on_GcG_name_mapped,27,33,-0.06683501683501691
48,GOMF,8,4,
