,Layer,Fatigue nodes,Malnutrition nodes,sAB
0,coex_KDN,43,37,-0.01004871150219988
1,coex_BST,27,26,0.4378326076439283
2,coex_OVR,30,23,0.08285479901558679
3,coex_LNG,36,27,0.11300366300366349
4,coex_ITI,34,31,0.2781272806889503
5,coex_VGN,35,31,0.16605222734254976
6,coex_HRV,21,18,0.17471042471042475
7,coex_MSG,35,38,0.28705324956226175
8,coex_ADV,33,26,0.18130457113508003
9,coex_EMS,33,24,0.24469696969696964
10,coex_SMU,31,20,0.12386438446346304
11,coex_ARG,33,19,-0.054664289958407775
12,coex_TST,31,22,0.01825928180158254
13,coex_PIT,31,25,0.1864055299539169
14,coex_LVR,43,34,-0.16939171335944403
15,coex_THY,35,29,0.06706374305994789
16,coex_PNC,30,26,0.1208791208791209
17,coex_ATC,33,27,0.4481481481481482
18,coex_BRO,33,24,0.1684609250398723
19,coex_SKN,36,34,0.15343653930610435
20,coex_ADS,29,29,0.6551724137931036
21,coex_GEJ,31,34,0.2346041055718473
22,coex_BRB,22,21,0.3959025470653379
23,coex_UTR,25,17,0.23103641456582658
24,coex_STM,32,28,0.013244047619047628
25,coex_HRA,34,22,-0.19934523809523808
26,coex_PRS,30,25,0.26025641025641066
27,coex_ATA,31,22,0.42513056835637464
28,coex_FIB,29,13,0.25135783756473407
29,coex_BRC,33,19,0.07772052508894634
30,coex_ATT,34,25,0.12781911183445738
31,coex_TNV,20,21,0.8764619883040936
32,coex_SPL,38,33,-0.006991711031740566
33,coex_LCL,22,9,-0.06256109481915928
34,coex_CLS,36,33,0.3460693895476503
35,coex_EMC,34,27,0.20984678024215153
36,coex_CLT,34,28,0.11056644880174282
37,coex_core,40,35,0.307748538011696
38,coex_WBL,36,26,0.06275956284153006
39,co-essential,9,11,0.21313131313131306
40,GOBP,20,19,-0.5821078431372548
41,ppi,49,50,0.14290249433106572
42,reactome_copathway,26,23,0.32307692307692304
43,MP,13,13,-0.9042642140468229
44,HP,31,33,0.21974279081133918
45,GI_net,30,17,0.09844571975131489
46,gene_gene_on_CbG_name_mapped,20,13,0.0920163170163173
47,gene_gene_on_GcG_name_mapped,28,29,-0.10491746607899066
48,GOMF,4,4,
