,Layer,Asthma nodes,Rheumatoid_arthritis nodes,sAB
0,coex_KDN,41,43,-0.11143748480674187
1,coex_BST,20,22,0.2163419913419915
2,coex_OVR,25,30,0.04484848484848469
3,coex_LNG,32,41,0.06562500000000004
4,coex_ITI,35,40,0.1382734382734383
5,coex_VGN,22,40,-0.24082414760380844
6,coex_HRV,29,29,0.3448275862068966
7,coex_MSG,34,36,0.10074696545284767
8,coex_ADV,25,27,0.5385185185185186
9,coex_EMS,24,28,0.18704212454212454
10,coex_SMU,25,31,0.09737327188940093
11,coex_ARG,17,27,0.22102968767244224
12,coex_TST,27,34,-0.1378799242830102
13,coex_PIT,30,34,-0.11011029411764706
14,coex_LVR,34,32,0.02743426916221048
15,coex_THY,21,36,-0.0323725981620715
16,coex_PNC,20,34,0.13306100217864936
17,coex_ATC,25,39,0.0560297766749378
18,coex_BRO,29,35,0.04022475369458123
19,coex_SKN,22,30,-0.0899178981937605
20,coex_ADS,26,35,0.29537157757496724
21,coex_GEJ,25,29,0.2650319887226198
22,coex_BRB,24,28,-0.009615384615384581
23,coex_UTR,15,18,-0.20158730158730176
24,coex_STM,32,35,0.21437233475479744
25,coex_HRA,26,29,0.720406162464986
26,coex_PRS,28,28,0.0733044733044732
27,coex_ATA,27,39,-0.12484737484737485
28,coex_FIB,18,18,-0.49999999999999956
29,coex_BRC,21,26,0.05213935001169068
30,coex_ATT,23,37,0.07371719545632605
31,coex_TNV,23,23,0.45652173913043503
32,coex_SPL,22,40,0.1441256830601092
33,coex_LCL,12,23,0.05056818181818157
34,coex_CLS,25,32,0.36329545454545453
35,coex_EMC,23,34,0.2396576479562076
36,coex_CLT,29,35,0.37721131327688706
37,coex_core,35,43,0.0267092148977095
38,coex_WBL,28,44,0.018217893217893133
39,co-essential,9,10,2.583040935672515
40,GOBP,14,7,0.297979797979798
41,ppi,49,50,0.18137291280148427
42,reactome_copathway,21,26,0.4694381356769033
43,MP,12,12,0.9757575757575756
44,HP,10,24,0.10490196078431357
45,GI_net,17,19,-0.08204334365325083
46,gene_gene_on_CbG_name_mapped,12,9,0.08928571428571441
47,gene_gene_on_GcG_name_mapped,25,34,-0.21011964107676984
48,GOMF,5,8,-0.6666666666666667
