,Layer,Epilepsy nodes,Status_epilepticus nodes,sAB
0,coex_KDN,34,39,0.20884932920536636
1,coex_BST,26,29,0.39082128021620566
2,coex_OVR,18,23,0.2295454545454545
3,coex_LNG,25,32,0.2659090909090911
4,coex_ITI,30,32,0.2781586021505378
5,coex_VGN,34,27,0.2945701357466064
6,coex_HRV,10,26,0.29230769230769216
7,coex_MSG,28,36,0.2991071428571428
8,coex_ADV,22,22,0.4545454545454546
9,coex_EMS,26,23,0.9336052146611156
10,coex_SMU,22,25,0.09352030947775658
11,coex_ARG,34,25,0.3121196754563895
12,coex_TST,35,33,0.26073338426279613
13,coex_PIT,42,38,0.28145363408521296
14,coex_LVR,24,35,0.3739104116222758
15,coex_THY,22,32,0.8872579966329965
16,coex_PNC,27,25,0.16621082621082595
17,coex_ATC,28,27,1.0523569023569026
18,coex_BRO,49,37,0.1837109167991522
19,coex_SKN,27,26,0.6066631780917495
20,coex_ADS,18,28,1.4013112491373358
21,coex_GEJ,29,24,0.6236938349007315
22,coex_BRB,35,31,0.23962925120420397
23,coex_UTR,24,21,0.45773809523809517
24,coex_STM,31,34,0.38588527222303304
25,coex_HRA,27,30,0.6760233918128655
26,coex_PRS,25,20,0.08861244019138725
27,coex_ATA,21,28,0.8052721088435373
28,coex_FIB,19,20,0.011842105263157876
29,coex_BRC,46,37,0.348700149424787
30,coex_ATT,24,26,0.6270903010033444
31,coex_TNV,21,28,1.0
32,coex_SPL,21,24,0.1700396825396826
33,coex_LCL,16,17,0.16784989858012178
34,coex_CLS,28,28,0.34712938005390814
35,coex_EMC,24,25,0.020833333333333037
36,coex_CLT,30,28,0.19002463054187202
37,coex_core,28,38,0.8831062030075187
38,coex_WBL,23,34,0.1991295373984836
39,co-essential,5,9,0.14903846153846168
40,GOBP,28,14,0.31552706552706544
41,ppi,50,50,0.050000000000000044
42,reactome_copathway,13,19,0.4427414690572582
43,MP,13,12,1.3740259740259742
44,HP,31,18,-0.10099846390168965
45,GI_net,17,20,0.0862299465240639
46,gene_gene_on_CbG_name_mapped,15,21,-0.013492063492063444
47,gene_gene_on_GcG_name_mapped,38,32,-0.11409774436090214
48,GOMF,4,4,
