,Layer,Keloid nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,45,27,0.2111111111111108
1,coex_BST,23,25,0.3237318840579708
2,coex_OVR,30,23,0.16493027071369948
3,coex_LNG,36,24,0.5463579499596447
4,coex_ITI,35,27,0.1819707846708809
5,coex_VGN,39,24,0.21214633068081334
6,coex_HRV,31,10,0.5035842293906809
7,coex_MSG,38,26,0.43515941295546545
8,coex_ADV,29,20,0.8022988505747128
9,coex_EMS,29,15,0.6606060606060606
10,coex_SMU,29,19,0.23542233242681165
11,coex_ARG,30,20,0.8039855072463769
12,coex_TST,33,28,0.13410155418352132
13,coex_PIT,34,28,0.1369273515857956
14,coex_LVR,39,18,0.25033738191632926
15,coex_THY,30,21,0.6977591036414563
16,coex_PNC,34,20,0.4016968325791854
17,coex_ATC,25,21,0.13805383022774342
18,coex_BRO,28,28,0.6607142857142856
19,coex_SKN,37,22,0.31367243867243855
20,coex_ADS,37,19,0.4274463142387672
21,coex_GEJ,35,16,0.7226190476190473
22,coex_BRB,20,20,0.4802631578947367
23,coex_UTR,30,18,0.46886304909560694
24,coex_STM,36,19,0.10835421888053465
25,coex_HRA,31,16,0.45492424242424256
26,coex_PRS,30,23,0.3481670929241263
27,coex_ATA,30,18,0.37638888888888866
28,coex_FIB,25,16,0.039583333333333304
29,coex_BRC,26,26,0.3653846153846154
30,coex_ATT,34,21,0.436208445642408
31,coex_TNV,27,15,0.6075672295184491
32,coex_SPL,37,20,0.3827524893314367
33,coex_LCL,12,15,0.441699604743083
34,coex_CLS,31,24,0.41111280178535203
35,coex_EMC,32,21,-0.019471153846153832
36,coex_CLT,33,29,0.1709675589836661
37,coex_core,43,22,0.34726863534065333
38,coex_WBL,34,18,0.5331253713606654
39,co-essential,5,3,-1.125
40,GOBP,16,28,2.101851851851852
41,ppi,47,50,0.24094976968633475
42,reactome_copathway,22,10,2.6547619047619047
43,MP,14,27,2.0512820512820515
44,HP,21,34,0.6783931754519992
45,GI_net,12,17,0.22147950089126534
46,gene_gene_on_CbG_name_mapped,7,11,0.7409812409812409
47,gene_gene_on_GcG_name_mapped,29,37,0.040003953797057124
48,GOMF,3,6,
