,Layer,Gastrointestinal_hemorrhage nodes,Systemic_mast_cell_disease nodes,sAB
0,coex_KDN,43,45,0.2793281653746771
1,coex_BST,35,26,0.1865989942261128
2,coex_OVR,37,33,-0.053270153270153386
3,coex_LNG,35,40,0.32011904761904786
4,coex_ITI,44,39,0.1661751902715758
5,coex_VGN,42,35,0.1679653679653681
6,coex_HRV,24,22,0.12730566534914356
7,coex_MSG,41,41,0.15853658536585358
8,coex_ADV,32,32,0.390625
9,coex_EMS,33,35,0.3827476445123503
10,coex_SMU,32,31,0.18927611367127484
11,coex_ARG,35,30,0.44206349206349227
12,coex_TST,38,38,0.13157894736842102
13,coex_PIT,40,34,0.043879173290938045
14,coex_LVR,36,35,-0.011837692823608137
15,coex_THY,35,32,0.37959088486140713
16,coex_PNC,35,31,0.10040497137271309
17,coex_ATC,38,42,0.27639097744360885
18,coex_BRO,40,34,0.26851379771843753
19,coex_SKN,41,38,0.030313124583610795
20,coex_ADS,23,31,0.9452013624524143
21,coex_GEJ,36,32,0.503902483124397
22,coex_BRB,21,21,0.2511904761904762
23,coex_UTR,29,28,0.20620689655172408
24,coex_STM,40,34,0.18453895071542137
25,coex_HRA,29,30,0.18827196571205929
26,coex_PRS,33,33,0.1969696969696968
27,coex_ATA,31,31,0.09824607791292106
28,coex_FIB,27,28,-0.1272005772005771
29,coex_BRC,35,30,0.06501831501831501
30,coex_ATT,36,36,0.4583333333333335
31,coex_TNV,11,23,0.11956521739130466
32,coex_SPL,34,36,0.2781746031746031
33,coex_LCL,21,27,0.1155989400670252
34,coex_CLS,40,33,0.2679112554112555
35,coex_EMC,39,36,0.32680599461421367
36,coex_CLT,41,38,0.09148943552024424
37,coex_core,44,40,0.4058769963575233
38,coex_WBL,36,39,-0.0588235294117645
39,co-essential,14,12,0.6726190476190477
40,GOBP,18,10,0.03125
41,ppi,49,49,0.0
42,reactome_copathway,17,19,0.2944444444444443
43,MP,14,12,1.3016657255787694
44,HP,31,20,0.18203668564199882
45,GI_net,29,26,0.16164697371593917
46,gene_gene_on_CbG_name_mapped,16,13,0.22969164456233426
47,gene_gene_on_GcG_name_mapped,40,26,-0.10151515151515156
48,GOMF,5,5,
