,Layer,Renal_tubular_acidosis nodes,Cerebral_edema nodes,sAB
0,coex_KDN,41,41,0.16132941884974406
1,coex_BST,29,35,0.13078817733990178
2,coex_OVR,31,36,0.003722084367245637
3,coex_LNG,33,37,0.35613305613305624
4,coex_ITI,30,44,0.15890663390663384
5,coex_VGN,28,39,0.031060357552894935
6,coex_HRV,18,26,0.5194556905083219
7,coex_MSG,34,41,-0.003146819703491177
8,coex_ADV,29,31,0.4508342602892106
9,coex_EMS,28,39,0.14827764827764822
10,coex_SMU,28,36,0.1485615079365079
11,coex_ARG,33,34,0.1578932709447416
12,coex_TST,33,40,-0.08317247820672469
13,coex_PIT,33,40,0.033696116090482287
14,coex_LVR,29,40,0.22221485411140596
15,coex_THY,26,33,0.47018770702981216
16,coex_PNC,26,33,0.02590351458885909
17,coex_ATC,27,37,0.18748435935935936
18,coex_BRO,28,37,0.3248960498960498
19,coex_SKN,30,40,0.13178339073861478
20,coex_ADS,19,32,0.6105123180291154
21,coex_GEJ,31,37,0.06002205679625061
22,coex_BRB,15,21,-0.006349206349206327
23,coex_UTR,24,32,0.0327380952380949
24,coex_STM,29,41,0.27749609515799567
25,coex_HRA,31,37,0.2600026825833277
26,coex_PRS,28,36,0.21850198412698418
27,coex_ATA,29,29,0.3651477832512313
28,coex_FIB,26,33,-0.06024060685077637
29,coex_BRC,30,37,-0.06601452198467128
30,coex_ATT,29,36,-0.050434718538166834
31,coex_TNV,11,18,0.9158896658896651
32,coex_SPL,32,40,0.4458333333333335
33,coex_LCL,25,30,0.2245174582520062
34,coex_CLS,28,38,0.16931533378901809
35,coex_EMC,29,39,0.23122027226504827
36,coex_CLT,30,41,-0.023809523809523947
37,coex_core,38,40,0.1312916975537437
38,coex_WBL,36,34,0.33166276460833055
39,co-essential,18,13,-0.04252826027019552
40,GOBP,37,30,0.9888888888888889
41,ppi,49,50,0.24176664605236042
42,reactome_copathway,15,20,0.9030100334448161
43,MP,21,9,1.3064285714285715
44,HP,36,32,0.3870506535947711
45,GI_net,18,17,-0.11540616246498603
46,gene_gene_on_CbG_name_mapped,17,25,0.17675070028011186
47,gene_gene_on_GcG_name_mapped,31,30,-0.014789353075974176
48,GOMF,13,10,0.3999999999999999
