,Layer,Peritonitis nodes,Cellulitis nodes,sAB
0,coex_KDN,40,45,-0.05204248366013098
1,coex_BST,31,22,-0.009267968793227777
2,coex_OVR,35,38,0.2929858429858432
3,coex_LNG,42,42,0.08273809523809517
4,coex_ITI,39,44,-0.14396370638347533
5,coex_VGN,36,41,0.3744997357094313
6,coex_HRV,23,34,-0.353502041548885
7,coex_MSG,41,45,-0.0001260477721056752
8,coex_ADV,32,30,0.12395833333333339
9,coex_EMS,34,30,0.004534313725490069
10,coex_SMU,28,31,-0.05896079043974067
11,coex_ARG,34,27,0.0394924818743525
12,coex_TST,39,35,0.21910701910701924
13,coex_PIT,36,36,0.04761904761904767
14,coex_LVR,39,36,0.1904563904563905
15,coex_THY,36,41,0.3623143223913443
16,coex_PNC,30,34,-0.26482843137254886
17,coex_ATC,38,42,0.19210526315789478
18,coex_BRO,38,39,0.013157894736842257
19,coex_SKN,37,33,0.2263484263484261
20,coex_ADS,32,39,0.23244515167930668
21,coex_GEJ,34,35,0.02736983531540149
22,coex_BRB,25,31,0.19902248289345081
23,coex_UTR,30,27,0.2707981673498918
24,coex_STM,37,43,0.1947438717787553
25,coex_HRA,33,27,0.04027108309644478
26,coex_PRS,34,37,0.23891600797151757
27,coex_ATA,35,38,0.02631578947368407
28,coex_FIB,30,20,-0.04500000000000015
29,coex_BRC,29,25,0.003014048531289948
30,coex_ATT,39,36,0.04560355930218929
31,coex_TNV,22,30,0.12166666666666659
32,coex_SPL,39,38,0.050957814115708766
33,coex_LCL,26,24,0.014551282051282088
34,coex_CLS,35,39,-0.03990693990693983
35,coex_EMC,40,40,0.007051282051282248
36,coex_CLT,39,44,0.07560649227315897
37,coex_core,42,46,0.21423756560258056
38,coex_WBL,40,37,0.282236842105263
39,co-essential,15,8,-0.2289979757085021
40,GOBP,17,12,1.758571428571429
41,ppi,50,50,-0.030000000000000027
42,reactome_copathway,23,21,0.5461697722567289
43,MP,11,11,0.8253588516746406
44,HP,18,33,0.2803030303030305
45,GI_net,27,21,-0.20128824476650564
46,gene_gene_on_CbG_name_mapped,11,8,0.1800239234449763
47,gene_gene_on_GcG_name_mapped,33,30,-0.22510822510822526
48,GOMF,1,2,
