,Layer,Biliary_cirrhosis nodes,Factor_VII_deficiency nodes,sAB
0,coex_KDN,42,35,0.03658008658008649
1,coex_BST,18,20,0.6944444444444446
2,coex_OVR,22,20,0.27175324675324664
3,coex_LNG,32,28,0.366427718040621
4,coex_ITI,38,25,0.2174770258980787
5,coex_VGN,25,32,0.20906798245614056
6,coex_HRV,17,13,0.4604608753315653
7,coex_MSG,23,27,0.36694847020933974
8,coex_ADV,26,28,0.2811643283341394
9,coex_EMS,19,19,0.18314366998577558
10,coex_SMU,19,16,0.01165413533834636
11,coex_ARG,18,17,0.1424836601307189
12,coex_TST,24,27,0.2436002178649237
13,coex_PIT,26,21,0.042892976588628784
14,coex_LVR,30,38,0.1999484004127965
15,coex_THY,29,24,1.026251025430681
16,coex_PNC,20,27,0.5197990543735225
17,coex_ATC,25,21,0.4095238095238094
18,coex_BRO,23,18,-0.27636385059502766
19,coex_SKN,23,28,0.1370265497503349
20,coex_ADS,24,18,1.117063492063492
21,coex_GEJ,22,22,0.4666666666666668
22,coex_BRB,18,15,-0.035906862745098245
23,coex_UTR,20,14,0.5101389838231944
24,coex_STM,28,31,0.38154143560103115
25,coex_HRA,20,27,0.02962962962962945
26,coex_PRS,25,24,0.6382446808510638
27,coex_ATA,24,15,0.2506410256410261
28,coex_FIB,17,12,0.4302738336713996
29,coex_BRC,24,21,0.0363095238095239
30,coex_ATT,26,20,0.0006688963210703669
31,coex_TNV,20,18,0.3893274853801172
32,coex_SPL,36,35,0.08575899843505486
33,coex_LCL,18,5,-0.006250000000000089
34,coex_CLS,35,27,0.04495647721454166
35,coex_EMC,25,23,0.5904347826086953
36,coex_CLT,30,27,0.3390313390313391
37,coex_core,35,28,0.4417996011964107
38,coex_WBL,32,20,0.25793269230769234
39,co-essential,4,6,1.5333333333333332
40,GOBP,20,29,0.5729316116690581
41,ppi,50,50,0.1499999999999999
42,reactome_copathway,21,21,0.30741758241758244
43,MP,19,13,0.15301358234295437
44,HP,19,24,0.5260862913096696
45,GI_net,20,16,0.5
46,gene_gene_on_CbG_name_mapped,15,23,0.06674294431731509
47,gene_gene_on_GcG_name_mapped,33,36,-0.0300285463328942
48,GOMF,4,8,
