,Layer,Pulmonary_hypertension nodes,Ischemic_stroke nodes,sAB
0,coex_KDN,40,46,0.016809908998989043
1,coex_BST,26,28,0.10071428571428598
2,coex_OVR,29,35,0.14523809523809517
3,coex_LNG,31,44,0.3942669942669945
4,coex_ITI,41,45,0.07035986638936165
5,coex_VGN,32,37,-0.14013537994516256
6,coex_HRV,25,33,0.2670454545454546
7,coex_MSG,38,45,0.01544071020925819
8,coex_ADV,24,33,-0.07803030303030312
9,coex_EMS,21,33,-0.07118807118807124
10,coex_SMU,24,36,0.05972222222222223
11,coex_ARG,20,33,0.009868421052631415
12,coex_TST,33,43,-0.0868198508957383
13,coex_PIT,31,40,0.03135226741467978
14,coex_LVR,29,44,0.07099991411517137
15,coex_THY,26,36,-0.16435759580920895
16,coex_PNC,26,41,-0.11697376158606576
17,coex_ATC,26,36,0.041025641025641324
18,coex_BRO,31,42,-0.0069282242282684425
19,coex_SKN,27,42,-0.056993328732459325
20,coex_ADS,31,38,0.4280468000295272
21,coex_GEJ,22,32,0.20146183473389323
22,coex_BRB,26,32,-0.19183971093988061
23,coex_UTR,18,34,0.05923202614379042
24,coex_STM,36,44,-0.05984848484848482
25,coex_HRA,20,31,0.08333333333333348
26,coex_PRS,28,37,-0.13218575718575698
27,coex_ATA,28,39,-0.08653846153846168
28,coex_FIB,17,36,0.22653522947640603
29,coex_BRC,27,33,0.0013468013468012074
30,coex_ATT,25,43,-0.06471926083866375
31,coex_TNV,31,35,0.3782991202346042
32,coex_SPL,24,42,0.029491341991341846
33,coex_LCL,10,13,0.13523391812865482
34,coex_CLS,33,37,0.017816049745397855
35,coex_EMC,27,42,-0.1448906262339098
36,coex_CLT,35,43,-0.09884146860891052
37,coex_core,33,46,0.07508213672220276
38,coex_WBL,21,31,0.4998522982393949
39,co-essential,3,4,-1.0000000000000009
40,GOBP,10,16,0.7181818181818183
41,ppi,47,50,0.12095415661329256
42,reactome_copathway,20,27,0.692982456140351
43,MP,9,13,-0.670833333333333
44,HP,22,28,0.109155844155844
45,GI_net,17,20,-0.06785714285714306
46,gene_gene_on_CbG_name_mapped,21,11,-0.032467532467532534
47,gene_gene_on_GcG_name_mapped,33,31,-0.1102303274682308
48,GOMF,2,3,
