,Layer,Benign_Neonatal_Epilepsy nodes,West_syndrome nodes,sAB
0,coex_KDN,29,46,0.27414792603698146
1,coex_BST,27,37,0.6858465608465605
2,coex_OVR,18,38,0.41624895572263987
3,coex_LNG,22,38,0.41618819776714533
4,coex_ITI,37,40,0.4065066690066692
5,coex_VGN,37,40,0.7575245700245703
6,coex_HRV,21,23,0.05443974630021131
7,coex_MSG,26,42,0.3776125834949364
8,coex_ADV,22,35,0.43907496012759184
9,coex_EMS,27,40,1.1208236208236206
10,coex_SMU,16,39,0.5044143356643356
11,coex_ARG,29,40,0.4186974789915965
12,coex_TST,35,44,0.39288591155679775
13,coex_PIT,31,43,0.32816650108473056
14,coex_LVR,15,38,0.4193809996689837
15,coex_THY,22,37,0.656015621532863
16,coex_PNC,31,37,0.4660751833427357
17,coex_ATC,24,39,0.48046398046398053
18,coex_BRO,43,42,0.4018380466196687
19,coex_SKN,28,41,0.587303031878933
20,coex_ADS,29,21,0.2067030260380016
21,coex_GEJ,29,36,0.7781746031746031
22,coex_BRB,38,20,0.1555353901996368
23,coex_UTR,17,34,0.6960294117647059
24,coex_STM,32,39,0.568332742526291
25,coex_HRA,22,38,0.5232854864433811
26,coex_PRS,19,36,0.11209463051568314
27,coex_ATA,21,38,0.6311329170383586
28,coex_FIB,8,35,0.20269933554817277
29,coex_BRC,42,42,0.21779802135370763
30,coex_ATT,22,38,1.166762244594537
31,coex_TNV,30,16,0.272554347826087
32,coex_SPL,12,43,0.062226920366455385
33,coex_LCL,4,27,0.32407407407407396
34,coex_CLS,36,38,0.4890548443180023
35,coex_EMC,20,35,0.8126623376623376
36,coex_CLT,33,38,0.4658834586466165
37,coex_core,38,39,0.7664703717335297
38,coex_WBL,13,36,0.45678527821384973
39,co-essential,6,11,0.394318181818182
40,GOBP,26,22,1.3660421785421786
41,ppi,50,49,0.23285920428777573
42,reactome_copathway,13,18,0.887840909090909
43,MP,14,5,1.8970588235294121
44,HP,15,34,0.2768507402961182
45,GI_net,14,20,-0.07647058823529385
46,gene_gene_on_CbG_name_mapped,13,12,0.16064102564102556
47,gene_gene_on_GcG_name_mapped,35,33,0.008950853068500297
48,GOMF,6,4,
