,Layer,Periodontitis nodes,Cholangitis nodes,sAB
0,coex_KDN,36,42,-0.4496336996336996
1,coex_BST,19,25,-0.38989159891598923
2,coex_OVR,20,26,-0.3528428093645486
3,coex_LNG,28,30,0.16347381864623234
4,coex_ITI,28,35,-0.3420634920634922
5,coex_VGN,21,28,-0.10799319727891143
6,coex_HRV,25,25,-0.02370748299319736
7,coex_MSG,30,32,-0.3863911290322579
8,coex_ADV,27,28,0.290809190809191
9,coex_EMS,19,23,-0.44769602378298057
10,coex_SMU,17,28,-0.24329159212880125
11,coex_ARG,17,21,-0.016659295297066112
12,coex_TST,21,32,-0.2567104672057501
13,coex_PIT,24,32,-0.2768429487179489
14,coex_LVR,30,31,-0.16472005932517608
15,coex_THY,17,27,0.19848802560423806
16,coex_PNC,24,25,-0.0012318840579710333
17,coex_ATC,27,22,-0.2734794756071355
18,coex_BRO,21,25,-0.22877846790890266
19,coex_SKN,17,26,0.3666666666666667
20,coex_ADS,20,28,-0.016304347826086918
21,coex_GEJ,26,28,0.10091836734693871
22,coex_BRB,20,21,-0.41768292682926833
23,coex_UTR,12,19,0.0032467532467532756
24,coex_STM,27,33,-0.024074074074074137
25,coex_HRA,25,27,0.024038461538461675
26,coex_PRS,18,26,-0.3044385026737966
27,coex_ATA,19,21,0.5764411027568923
28,coex_FIB,14,19,-0.17460317460317487
29,coex_BRC,16,29,-0.40625
30,coex_ATT,18,23,0.2549288418853637
31,coex_TNV,18,20,-0.48748012718600986
32,coex_SPL,26,23,0.30142773892773933
33,coex_LCL,11,19,0.3909774436090223
34,coex_CLS,18,30,-0.4035376561972308
35,coex_EMC,23,21,-0.2202730030333666
36,coex_CLT,18,32,-0.1480353466026081
37,coex_core,31,38,0.0240150598359552
38,coex_WBL,28,28,0.0006734006734008258
39,co-essential,10,11,-0.09870129870129896
40,GOBP,17,24,-0.5367965367965364
41,ppi,49,48,-0.06232905533347366
42,reactome_copathway,29,17,-0.3421266233766236
43,MP,15,17,0.07142857142857162
44,HP,13,21,0.010450333979745707
45,GI_net,21,18,-0.26608187134502925
46,gene_gene_on_CbG_name_mapped,25,13,0.08672064777327915
47,gene_gene_on_GcG_name_mapped,30,30,-0.30000000000000004
48,GOMF,2,6,
