,Layer,Sinusitis nodes,Cholangitis nodes,sAB
0,coex_KDN,41,42,-0.059523809523809534
1,coex_BST,21,25,0.504472049689441
2,coex_OVR,33,26,0.08102619363395203
3,coex_LNG,43,30,0.46287089013632743
4,coex_ITI,39,35,-0.003821403821403946
5,coex_VGN,31,28,0.02691203815991594
6,coex_HRV,28,25,0.5583753501400559
7,coex_MSG,40,32,0.078125
8,coex_ADV,31,28,0.6743898276156342
9,coex_EMS,27,23,0.6658937198067634
10,coex_SMU,32,28,0.020776098901098994
11,coex_ARG,28,21,0.4141156462585034
12,coex_TST,38,32,-0.16687030075187947
13,coex_PIT,33,32,0.04836531296572266
14,coex_LVR,35,31,0.2369527649769585
15,coex_THY,37,27,0.1288816288816288
16,coex_PNC,34,25,0.06952143569292124
17,coex_ATC,38,22,0.17705504547609818
18,coex_BRO,36,25,0.06329690346083794
19,coex_SKN,33,26,0.25084175084175087
20,coex_ADS,37,28,0.5555555555555554
21,coex_GEJ,30,28,0.5479947021098615
22,coex_BRB,28,21,0.12158054711246202
23,coex_UTR,23,19,-0.246428571428571
24,coex_STM,37,33,0.1967824967824967
25,coex_HRA,23,27,0.42176573426573416
26,coex_PRS,32,26,0.14070175438596522
27,coex_ATA,35,21,0.2846560846560844
28,coex_FIB,20,19,-0.15994152046783627
29,coex_BRC,25,29,0.16999999999999993
30,coex_ATT,35,23,-0.02070393374741153
31,coex_TNV,22,20,0.34036796536796565
32,coex_SPL,37,23,0.11655145129721411
33,coex_LCL,21,19,-0.025689223057644206
34,coex_CLS,29,30,0.1415716014173367
35,coex_EMC,36,21,0.08412698412698427
36,coex_CLT,35,32,0.35945117501094703
37,coex_core,40,38,0.2016891891891892
38,coex_WBL,37,28,0.10671609109109115
39,co-essential,4,11,-0.6772727272727277
40,GOBP,18,24,0.8696428571428569
41,ppi,49,48,0.18509362507889748
42,reactome_copathway,19,17,0.2706224696356274
43,MP,17,17,0.1991732176741663
44,HP,28,21,0.1215986394557822
45,GI_net,19,18,-0.3916457811194656
46,gene_gene_on_CbG_name_mapped,11,13,0.05885780885780867
47,gene_gene_on_GcG_name_mapped,28,30,-0.18838259441707694
48,GOMF,1,6,
