,Layer,Fibrosarcoma nodes,Bladder_neoplasm nodes,sAB
0,coex_KDN,46,43,-0.290607942781856
1,coex_BST,26,32,-0.1804542440318302
2,coex_OVR,36,32,-0.013353929278339116
3,coex_LNG,36,41,-0.03816046966731901
4,coex_ITI,43,43,-0.2558139534883721
5,coex_VGN,38,35,-0.26599031826140696
6,coex_HRV,37,35,-0.2605742296918767
7,coex_MSG,42,42,-0.11904761904761885
8,coex_ADV,27,29,0.07906860062032495
9,coex_EMS,26,35,-0.44112772473428175
10,coex_SMU,34,31,-0.26944342619745854
11,coex_ARG,30,29,-0.319452561854666
12,coex_TST,42,40,-0.12195121951219523
13,coex_PIT,40,38,0.0013157894736843812
14,coex_LVR,41,41,-0.25609756097560976
15,coex_THY,36,34,-0.2560924369747897
16,coex_PNC,33,34,-0.19223401708037358
17,coex_ATC,34,33,-0.056985294117646745
18,coex_BRO,38,35,-0.03576578432382327
19,coex_SKN,39,33,-0.1386147660818715
20,coex_ADS,40,33,-0.3445998445998444
21,coex_GEJ,28,38,-0.3170216469396796
22,coex_BRB,34,29,-0.3281377066955813
23,coex_UTR,28,26,-0.1877116594097723
24,coex_STM,43,41,-0.1559300975069553
25,coex_HRA,39,33,-0.16840465872156019
26,coex_PRS,32,37,-0.1067088543767647
27,coex_ATA,35,30,0.04216440886699502
28,coex_FIB,32,31,-0.051724137931034475
29,coex_BRC,38,35,-0.23025028324235253
30,coex_ATT,38,27,0.17127512127512157
31,coex_TNV,32,26,-0.5662715517241379
32,coex_SPL,31,30,-0.24748810153358014
33,coex_LCL,23,25,-0.46017316017316
34,coex_CLS,31,35,-0.14462671065493637
35,coex_EMC,33,35,-0.14613970588235303
36,coex_CLT,38,34,-0.2745407745407744
37,coex_core,44,44,-0.16146934460887952
38,coex_WBL,37,38,-0.10552868658131809
39,co-essential,8,10,-0.5125000000000002
40,GOBP,6,8,0.6499999999999995
41,ppi,50,50,-0.15999999999999992
42,reactome_copathway,28,29,-0.23955971277399857
43,MP,6,10,-0.5499999999999998
44,HP,22,23,-0.26176359872012034
45,GI_net,19,28,-0.31734006734006726
46,gene_gene_on_CbG_name_mapped,17,16,-0.09118761140819953
47,gene_gene_on_GcG_name_mapped,33,28,-0.36635973316301196
48,GOMF,2,6,
