,Layer,Atypical_absence_seizure nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,35,39,0.19067419067419067
1,coex_BST,27,29,0.5422368180988868
2,coex_OVR,30,30,0.17848932676518858
3,coex_LNG,31,25,0.5050460829493089
4,coex_ITI,31,42,0.23141426256759856
5,coex_VGN,32,37,0.22617386408147278
6,coex_HRV,21,28,0.07568027210884365
7,coex_MSG,33,40,0.1357513491075133
8,coex_ADV,26,29,0.7202556064625032
9,coex_EMS,25,31,0.1703703703703705
10,coex_SMU,24,21,0.35238095238095246
11,coex_ARG,31,28,0.18321018062397365
12,coex_TST,36,34,0.12892156862745097
13,coex_PIT,34,35,0.10294117647058831
14,coex_LVR,24,30,0.4277777777777778
15,coex_THY,32,32,0.4223790322580645
16,coex_PNC,30,26,0.1474358974358978
17,coex_ATC,28,33,0.02724256617699261
18,coex_BRO,40,35,0.14095238095238094
19,coex_SKN,32,34,0.194546568627451
20,coex_ADS,26,28,0.719224924012158
21,coex_GEJ,28,32,0.5085962424672104
22,coex_BRB,34,29,0.5145784878821589
23,coex_UTR,21,16,0.1065797940797939
24,coex_STM,33,38,0.2940225082552732
25,coex_HRA,31,27,0.2514608450092324
26,coex_PRS,27,34,0.2468838172791885
27,coex_ATA,29,32,0.783915607985481
28,coex_FIB,21,17,0.10939510939510932
29,coex_BRC,39,29,0.27144120247568515
30,coex_ATT,27,33,0.3208455165692006
31,coex_TNV,21,24,0.4862637362637363
32,coex_SPL,28,26,0.29008954008954024
33,coex_LCL,11,15,0.5818181818181816
34,coex_CLS,29,39,0.26427939876215745
35,coex_EMC,28,34,0.19292456177702078
36,coex_CLT,32,38,0.19823778195488728
37,coex_core,34,38,0.3629809818664307
38,coex_WBL,20,18,0.32619047619047636
39,co-essential,3,3,1.833333333333334
40,GOBP,29,26,0.7527564102564099
41,ppi,47,45,0.13055157402983486
42,reactome_copathway,7,6,-0.08333333333333304
43,MP,15,17,0.15065681444991785
44,HP,24,18,0.16468253968253976
45,GI_net,14,11,-0.1453246753246753
46,gene_gene_on_CbG_name_mapped,14,9,0.017080745341614856
47,gene_gene_on_GcG_name_mapped,32,32,0.109375
48,GOMF,6,8,
