,Layer,Pyelonephritis nodes,Gingival_disorder nodes,sAB
0,coex_KDN,42,48,0.5508928571428573
1,coex_BST,26,42,0.35488983653162753
2,coex_OVR,32,42,0.4409722222222223
3,coex_LNG,34,47,0.7573605758231703
4,coex_ITI,35,44,0.28567169264843684
5,coex_VGN,32,42,0.3253715843447782
6,coex_HRV,26,35,1.337371644748694
7,coex_MSG,35,47,0.2659352064645266
8,coex_ADV,31,38,0.5012383900928792
9,coex_EMS,22,39,0.5217948717948717
10,coex_SMU,26,40,0.3966783216783216
11,coex_ARG,21,37,0.1386800334168754
12,coex_TST,27,46,0.2985132243619437
13,coex_PIT,35,44,0.5122412471249682
14,coex_LVR,36,43,0.44358175514342735
15,coex_THY,25,43,0.7907121369894714
16,coex_PNC,29,42,0.7475369458128078
17,coex_ATC,30,39,0.44337925755836194
18,coex_BRO,30,42,0.5499999999999998
19,coex_SKN,26,46,0.24317460317460293
20,coex_ADS,24,40,1.3502747252747254
21,coex_GEJ,29,39,0.9771062271062272
22,coex_BRB,21,29,0.7482758620689651
23,coex_UTR,20,42,0.43967413034786107
24,coex_STM,30,42,0.2674603174603174
25,coex_HRA,25,45,0.49307189542483654
26,coex_PRS,29,45,0.39262452107279655
27,coex_ATA,31,39,0.998171305633992
28,coex_FIB,20,39,0.11794871794871797
29,coex_BRC,21,42,0.5952380952380951
30,coex_ATT,30,43,0.7117659551874269
31,coex_TNV,24,32,1.385165513833992
32,coex_SPL,27,45,0.5781268809437821
33,coex_LCL,14,30,0.3761904761904764
34,coex_CLS,33,44,0.6046362296909842
35,coex_EMC,30,43,0.2458797918657749
36,coex_CLT,32,42,0.38887548262548255
37,coex_core,40,48,0.39346719457013557
38,coex_WBL,29,40,0.44053030303030316
39,co-essential,4,15,-1.166666666666667
40,GOBP,14,25,-0.02738927738927721
41,ppi,50,46,0.04244565217391294
42,reactome_copathway,14,9,0.7524509803921564
43,MP,16,12,1.2309523809523815
44,HP,13,8,0.3999999999999999
45,GI_net,23,18,0.22711842277059668
46,gene_gene_on_CbG_name_mapped,12,4,0.02083333333333348
47,gene_gene_on_GcG_name_mapped,32,35,0.11366604477611952
48,GOMF,4,6,
