,Layer,Intracranial_swelling nodes,Cirrhosis_of_liver nodes,sAB
0,coex_KDN,36,43,0.05526655786753687
1,coex_BST,18,22,0.5332355816226784
2,coex_OVR,29,27,-0.3657647907647905
3,coex_LNG,25,33,-0.146590909090909
4,coex_ITI,34,36,0.25697945845004666
5,coex_VGN,29,32,-0.05400444938820903
6,coex_HRV,31,32,-0.05892219725013215
7,coex_MSG,33,36,-0.03546332894158977
8,coex_ADV,19,27,0.1746679359898451
9,coex_EMS,20,21,0.41094657375145216
10,coex_SMU,20,23,-0.20530303030303032
11,coex_ARG,23,29,-0.12015893313847248
12,coex_TST,30,34,-0.3544117647058824
13,coex_PIT,33,36,-0.14898768191129919
14,coex_LVR,34,42,-0.1829573934837092
15,coex_THY,22,31,0.37164928667391717
16,coex_PNC,25,30,-0.023030303030302957
17,coex_ATC,16,26,-0.01538461538461533
18,coex_BRO,35,29,-0.16853448275862082
19,coex_SKN,28,34,-0.26104158998895843
20,coex_ADS,25,31,0.13078341013824923
21,coex_GEJ,20,27,0.503703703703704
22,coex_BRB,33,27,-0.30000000000000004
23,coex_UTR,17,16,0.07954545454545459
24,coex_STM,35,33,-0.08906004735679884
25,coex_HRA,27,30,0.3193666355431062
26,coex_PRS,23,24,-0.2392857142857141
27,coex_ATA,22,27,-0.22187865045007893
28,coex_FIB,16,13,-0.19373219373219364
29,coex_BRC,32,30,-0.29166666666666674
30,coex_ATT,24,32,-0.25266323538212987
31,coex_TNV,24,25,-0.06863475177304945
32,coex_SPL,23,36,-0.1162922326715432
33,coex_LCL,15,14,-0.08465608465608487
34,coex_CLS,32,32,-0.1636612021857924
35,coex_EMC,27,31,0.07962962962962972
36,coex_CLT,30,33,-0.13755233837201053
37,coex_core,36,38,0.06857028261137854
38,coex_WBL,27,28,0.3351648351648353
39,co-essential,5,9,-0.5307692307692307
40,GOBP,14,19,-0.04802197802197794
41,ppi,50,49,-0.06953205524634098
42,reactome_copathway,21,25,-0.3695121951219511
43,MP,10,13,-0.6250971250971249
44,HP,20,25,-0.15888888888888908
45,GI_net,13,15,-0.2384615384615385
46,gene_gene_on_CbG_name_mapped,23,16,-0.08817586399108124
47,gene_gene_on_GcG_name_mapped,37,34,-0.24477708860476066
48,GOMF,3,3,
