,Layer,Seizure nodes,Benign_Neonatal_Epilepsy nodes,sAB
0,coex_KDN,38,29,0.18081778042636198
1,coex_BST,27,27,0.7037037037037037
2,coex_OVR,29,18,0.403065134099617
3,coex_LNG,38,22,0.265673981191223
4,coex_ITI,34,37,0.23323966053874923
5,coex_VGN,33,37,0.1007605007605008
6,coex_HRV,18,21,0.1749226006191953
7,coex_MSG,36,26,0.31069065343258906
8,coex_ADV,30,22,0.6495337995337995
9,coex_EMS,32,27,0.4521833804143127
10,coex_SMU,33,16,0.39608457019171306
11,coex_ARG,33,29,0.3719641939980922
12,coex_TST,42,35,0.23203463203463204
13,coex_PIT,42,31,0.1916230035982578
14,coex_LVR,30,15,0.25
15,coex_THY,28,22,0.6811043566362716
16,coex_PNC,36,31,0.22340455243681046
17,coex_ATC,34,24,0.4893509127789044
18,coex_BRO,41,43,0.2345906598600871
19,coex_SKN,38,28,0.46240601503759393
20,coex_ADS,25,29,0.5544316730523624
21,coex_GEJ,33,29,0.30407066052227316
22,coex_BRB,32,38,0.28265977443609014
23,coex_UTR,26,17,0.5908882783882783
24,coex_STM,34,32,0.2232885710115311
25,coex_HRA,34,22,0.20607333842627984
26,coex_PRS,29,19,0.16262921170993438
27,coex_ATA,31,21,0.7158808933002483
28,coex_FIB,28,8,0.2311507936507935
29,coex_BRC,43,42,0.2178780757907246
30,coex_ATT,34,22,0.46657046657046664
31,coex_TNV,23,30,0.5745693191140278
32,coex_SPL,38,12,0.07785087719298245
33,coex_LCL,23,4,0.7004347826086956
34,coex_CLS,33,36,0.41688625384277556
35,coex_EMC,29,20,0.5149718508092893
36,coex_CLT,34,33,0.21668894830659524
37,coex_core,34,38,0.18765049879600948
38,coex_WBL,29,13,0.5154098774788434
39,co-essential,9,6,0.01904761904761898
40,GOBP,15,26,-0.13392857142857162
41,ppi,48,50,0.07534013605442169
42,reactome_copathway,20,13,0.759617224880383
43,MP,10,14,-0.3928571428571428
44,HP,35,15,0.33273809523809517
45,GI_net,22,14,0.030952380952380842
46,gene_gene_on_CbG_name_mapped,15,13,0.23516483516483522
47,gene_gene_on_GcG_name_mapped,39,35,0.018483318483318634
48,GOMF,3,6,
