,Layer,Pruritus nodes,Dyssomnia nodes,sAB
0,coex_KDN,39,42,0.3760025062656642
1,coex_BST,24,40,0.2635416666666668
2,coex_OVR,28,40,0.18256302521008383
3,coex_LNG,34,40,0.45560413354531004
4,coex_ITI,33,40,0.10835408883354081
5,coex_VGN,35,41,0.2171373555840821
6,coex_HRV,25,13,0.9530180180180179
7,coex_MSG,37,41,0.2238138701553336
8,coex_ADV,23,36,0.2848808646524197
9,coex_EMS,32,39,0.41242325749368014
10,coex_SMU,28,36,0.4241071428571428
11,coex_ARG,28,37,0.3853496353496355
12,coex_TST,38,44,0.296169331310538
13,coex_PIT,31,43,0.3401475368842213
14,coex_LVR,29,36,0.21822133804892418
15,coex_THY,31,25,0.7216589861751155
16,coex_PNC,31,35,0.36831448121770727
17,coex_ATC,34,40,0.3398198011599005
18,coex_BRO,32,37,0.7367863787700746
19,coex_SKN,38,39,0.32765182186234787
20,coex_ADS,34,19,0.5314757481940147
21,coex_GEJ,34,39,0.4604847207586935
22,coex_BRB,27,18,0.4759259259259261
23,coex_UTR,22,34,0.23107774578362816
24,coex_STM,35,40,0.21904761904761894
25,coex_HRA,30,39,0.4411928651059087
26,coex_PRS,35,37,0.3319605319605321
27,coex_ATA,29,34,0.7449347100986445
28,coex_FIB,19,37,0.26061776061776065
29,coex_BRC,27,42,0.1282493673798022
30,coex_ATT,31,39,0.6491669620701881
31,coex_TNV,34,14,0.8157136980666393
32,coex_SPL,30,38,0.07863777089783275
33,coex_LCL,18,27,0.1148148148148147
34,coex_CLS,36,41,0.2207352268327878
35,coex_EMC,31,41,0.2945487242890861
36,coex_CLT,33,40,0.21314860938148628
37,coex_core,40,39,0.4871794871794872
38,coex_WBL,24,34,0.2527045300878976
39,co-essential,6,9,2.958333333333333
40,GOBP,19,15,1.156468758102152
41,ppi,50,50,0.14000000000000012
42,reactome_copathway,14,14,1.2175324675324672
43,MP,21,12,2.867980295566502
44,HP,26,33,0.8069218916676544
45,GI_net,18,23,0.2810474843878876
46,gene_gene_on_CbG_name_mapped,14,5,-0.014285714285714235
47,gene_gene_on_GcG_name_mapped,32,32,0.078125
48,GOMF,5,5,
