,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,34,29,0.061857812655870426
1,coex_BST,25,19,0.20454545454545459
2,coex_OVR,18,21,0.009768009768009733
3,coex_LNG,27,31,0.7868130227001195
4,coex_ITI,33,24,0.2098285486443383
5,coex_VGN,34,25,-0.028275174476570353
6,coex_HRV,16,16,0.22222222222222232
7,coex_MSG,25,26,0.2393363499245853
8,coex_ADV,23,20,0.5456521739130435
9,coex_EMS,28,22,0.3667113309970458
10,coex_SMU,24,19,0.27182539682539675
11,coex_ARG,30,22,0.1343822843822844
12,coex_TST,32,24,0.10416666666666652
13,coex_PIT,35,25,0.3147619047619048
14,coex_LVR,22,33,0.24210186976144432
15,coex_THY,23,19,0.8055555555555554
16,coex_PNC,30,21,0.2758503401360546
17,coex_ATC,29,22,0.37096625484049417
18,coex_BRO,45,24,0.32286096256684504
19,coex_SKN,25,18,0.2128455284552846
20,coex_ADS,21,16,0.5782738095238096
21,coex_GEJ,29,19,0.3920539730134931
22,coex_BRB,35,15,0.10861195542046609
23,coex_UTR,17,21,0.10968597965502047
24,coex_STM,29,26,0.002206414275379931
25,coex_HRA,23,19,0.21145254440448946
26,coex_PRS,23,27,0.17937342160944647
27,coex_ATA,25,17,0.603807986609278
28,coex_FIB,16,17,0.46875
29,coex_BRC,37,23,0.09461485473479492
30,coex_ATT,26,17,0.9028159340659341
31,coex_TNV,21,15,0.910924369747899
32,coex_SPL,24,38,1.0559001624575393
33,coex_LCL,11,16,0.6798701298701295
34,coex_CLS,31,24,0.4560483870967744
35,coex_EMC,22,26,0.31369717239282435
36,coex_CLT,30,24,0.26435185185185195
37,coex_core,32,32,0.5201612903225805
38,coex_WBL,18,34,1.098235294117647
39,co-essential,6,11,-0.29857397504456307
40,GOBP,29,28,1.260989010989011
41,ppi,50,50,0.3500000000000001
42,reactome_copathway,13,10,1.121031746031746
43,MP,12,15,2.6726190476190474
44,HP,20,22,1.1626623376623373
45,GI_net,17,16,0.014231499051233332
46,gene_gene_on_CbG_name_mapped,17,15,0.12610294117647047
47,gene_gene_on_GcG_name_mapped,38,32,0.15411184210526319
48,GOMF,6,2,
